,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.43,0.86,1.21,1.31,1.26,1.5,0.74,0.81,0.77,0.52,0.65,0.61,0.68,0.57,0.52,1.6
f_1,1.44,0.43,1.18,1.26,1.43,1.28,0.58,0.58,0.72,0.6,0.47,1.05,0.56,0.36,0.55,0.38
d_1,1.69,1.37,0.4,1.13,1.17,1.28,0.64,1.26,0.47,0.71,0.55,0.56,0.57,0.47,0.34,0.54
c_1,1.28,1.27,1.59,0.39,1.59,1.14,0.7,0.34,0.73,1.0,0.58,0.52,0.52,0.5,0.41,0.51
b_1,1.53,1.26,1.4,0.8,0.34,1.67,0.7,0.47,0.84,0.51,2.38,0.68,0.63,0.71,0.51,0.64
a_1,1.13,1.52,1.25,1.64,0.78,0.3,0.77,0.6,0.75,0.55,0.77,0.57,1.53,0.45,0.68,0.59
h_1,0.98,0.95,0.95,1.03,0.89,0.86,0.27,0.43,0.61,0.48,0.44,0.45,0.39,0.48,0.37,0.47
d_0,0.5,1.13,1.51,1.24,1.3,0.99,0.67,0.28,0.57,0.37,0.43,0.41,0.38,0.34,0.37,0.45
g_1,0.92,0.97,1.11,0.9,0.88,0.92,0.41,0.42,0.23,0.49,0.43,0.54,0.51,0.28,0.81,0.46
c_0,0.96,0.86,0.6,2.31,1.37,0.86,0.54,0.55,0.53,0.26,0.53,0.5,0.44,0.46,0.43,0.42
b_0,0.72,1.28,1.01,1.06,,0.86,0.51,0.47,0.55,0.26,0.25,0.39,0.46,0.38,0.33,0.48
f_0,0.86,2.3,0.87,1.08,0.81,0.87,0.5,0.48,0.33,0.39,0.43,0.24,0.46,0.39,0.29,0.58
a_0,0.76,1.08,0.85,1.16,1.04,,0.52,0.56,0.57,0.52,0.28,0.39,0.22,0.41,0.37,0.48
h_0,0.77,1.11,0.97,1.08,0.89,0.83,0.86,0.47,0.68,0.39,0.45,0.4,0.4,0.57,0.44,0.42
g_0,0.92,1.04,1.03,1.34,1.01,0.6,0.44,0.46,,0.35,0.41,0.42,0.41,0.26,0.54,0.34
e_0,1.14,1.49,0.88,0.94,0.82,0.87,0.46,0.42,0.43,0.49,0.38,0.24,0.37,0.42,0.38,0.21
