,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,1.87,1.72,2.21,1.99,1.65,0.44,0.4,0.46,0.8,0.46,0.95,0.36,0.24,0.39,0.36
e_1,1.04,0.43,2.44,2.22,2.28,2.94,0.57,0.45,0.44,0.73,0.44,0.51,0.44,0.29,1.24,0.34
d_1,2.6,2.48,0.41,2.35,1.86,1.87,0.64,0.34,1.14,0.36,0.38,0.45,0.37,0.3,0.46,0.2
c_1,2.4,1.86,2.87,0.4,2.19,1.92,0.58,0.88,0.22,0.55,0.42,0.39,0.46,0.32,0.43,0.26
b_1,2.24,2.44,2.28,1.15,0.39,2.61,0.88,0.61,0.47,0.76,1.42,0.4,0.46,0.41,0.37,0.43
a_1,3.27,2.69,2.85,3.34,1.34,0.34,0.85,0.58,0.65,0.77,0.54,0.51,1.09,0.33,0.62,0.37
h_1,3.41,3.14,2.98,3.54,4.28,2.85,0.34,0.69,0.79,0.94,0.63,0.62,0.58,0.97,0.58,0.44
c_0,3.45,4.01,1.72,8.0,4.24,3.87,1.05,0.4,1.13,1.1,0.85,0.78,0.79,0.48,0.65,0.46
d_0,3.98,1.83,9.46,3.84,3.99,3.99,0.93,0.91,0.41,1.18,0.84,0.83,0.7,0.48,0.8,0.64
g_1,3.62,3.42,3.98,3.85,3.85,3.35,0.89,0.67,0.86,0.31,0.74,0.75,0.77,0.42,0.7,0.97
b_0,3.38,3.29,2.87,5.73,8.22,3.69,0.92,0.42,0.97,1.15,0.38,0.82,0.84,0.54,0.67,0.54
f_0,8.38,3.71,3.68,3.33,5.08,4.16,1.08,0.95,0.89,0.66,0.79,0.34,1.06,0.61,0.78,0.34
a_0,4.96,4.34,3.28,4.83,6.37,10.18,1.18,0.77,1.29,1.07,0.48,1.06,0.36,0.69,0.97,0.8
h_0,5.68,4.11,4.17,6.16,4.16,4.17,2.33,0.93,1.07,1.14,0.98,0.91,0.82,1.16,0.75,0.72
e_0,8.38,10.28,3.95,4.72,4.07,3.79,1.29,0.94,1.08,1.22,1.06,0.44,1.12,0.58,0.31,0.61
g_0,6.48,5.1,4.23,7.17,4.44,4.4,1.09,0.91,1.28,2.01,0.94,0.89,0.98,0.59,0.82,1.36
