,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,4.08,3.87,3.77,3.35,4.2,1.45,1.65,1.68,1.6,1.66,,1.13,1.22,1.48,1.35
e_1,2.23,0.42,3.75,3.77,2.77,3.13,2.02,2.25,1.76,1.69,1.78,2.22,1.36,1.83,1.39,
d_1,3.51,3.97,0.41,3.33,2.89,3.35,2.02,1.48,2.07,,1.5,1.5,1.57,1.31,0.99,1.82
c_1,3.19,3.48,4.49,0.39,3.93,3.47,2.24,1.86,,0.98,1.57,1.6,1.29,1.92,1.4,1.62
b_1,3.68,4.62,3.79,2.34,0.35,3.66,1.44,2.47,1.57,1.47,,1.38,1.55,1.9,1.95,1.23
a_1,3.97,5.14,3.22,3.88,2.7,0.3,2.32,,1.42,1.48,1.87,1.57,1.68,,1.05,
h_1,1.92,1.91,1.84,1.71,2.45,1.58,0.27,0.95,0.63,0.81,0.66,0.82,,0.73,0.95,0.88
g_1,2.06,1.85,2.01,1.68,1.73,,0.72,0.24,0.76,1.07,0.75,0.96,0.57,0.78,,0.84
c_0,1.37,1.54,0.95,,2.1,1.98,0.97,0.92,0.28,0.64,1.14,0.66,0.6,0.89,0.49,0.71
d_0,1.68,1.01,,1.85,1.77,1.73,0.75,0.84,1.14,0.29,0.62,0.7,0.63,0.59,0.6,0.65
b_0,1.9,1.4,1.75,2.0,,1.64,0.92,0.84,0.4,0.83,0.27,0.69,0.54,0.97,0.59,0.68
f_0,,1.51,1.5,1.5,1.89,1.79,0.97,0.66,0.73,0.7,0.85,0.26,0.52,0.74,0.4,0.98
h_0,1.32,1.29,1.07,1.25,1.13,1.01,,0.8,0.55,0.61,0.64,0.64,,0.66,0.51,0.48
a_0,2.16,1.59,2.34,1.36,1.54,,0.93,0.94,0.83,1.05,0.43,0.58,0.59,0.22,0.58,0.62
g_0,1.55,1.57,1.45,1.4,1.23,1.37,0.5,,0.62,0.5,0.53,0.84,0.33,0.66,,
e_0,2.22,,1.54,1.85,1.94,,0.88,0.79,0.75,0.77,0.78,0.38,0.62,0.62,,0.21
