,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.41,3.93,3.4,3.52,3.59,3.43,1.64,1.99,1.63,1.24,,1.78,1.2,1.49,2.07,1.24
e_1,2.73,0.41,3.86,3.59,3.4,3.73,1.78,1.77,1.84,1.56,1.7,1.67,1.46,,1.36,1.42
c_1,4.0,3.18,0.4,3.37,3.73,3.3,1.84,2.36,1.03,,1.42,1.38,1.53,1.95,1.49,1.63
d_1,3.82,3.79,4.34,0.4,4.17,,1.97,1.38,,1.99,1.25,1.59,1.29,1.64,1.22,0.93
b_1,3.39,3.99,2.3,3.19,0.37,4.76,2.16,1.83,1.71,2.32,1.76,,1.21,1.39,2.02,1.19
a_1,3.29,3.04,4.33,,2.04,0.3,1.78,1.9,1.61,,1.82,1.79,1.43,,,
h_1,1.6,1.93,1.74,1.74,1.54,1.78,0.26,1.06,0.68,0.93,1.03,0.8,,0.86,0.83,0.74
g_1,1.64,2.7,1.55,2.15,2.01,2.04,0.72,0.24,1.02,0.77,1.4,0.84,0.41,0.78,0.87,
d_0,1.29,1.15,2.03,,1.42,1.61,0.87,0.76,0.3,0.73,0.64,0.73,0.63,0.59,0.88,0.64
c_0,1.77,1.71,,0.9,1.52,,0.83,1.0,0.73,0.28,0.7,0.9,0.63,0.56,0.82,0.63
f_0,,1.48,1.81,2.06,1.63,1.39,0.74,0.46,0.79,0.68,0.27,0.79,0.67,0.98,,0.48
b_0,1.6,1.56,2.5,1.65,,1.48,1.0,0.69,0.7,0.41,0.79,0.26,0.83,,0.91,0.55
h_0,1.45,1.31,1.03,1.1,1.48,1.43,,1.15,0.55,0.54,0.5,0.39,,0.97,0.54,0.55
e_0,2.05,,1.38,1.97,1.82,,0.77,0.96,0.95,0.79,0.39,,0.48,0.22,0.72,0.54
a_0,1.81,1.86,1.95,2.06,1.73,,1.01,1.03,0.5,0.88,,0.41,0.47,0.59,0.22,0.71
g_0,1.64,1.37,1.04,1.62,1.78,,0.59,,0.61,0.54,0.6,0.71,0.37,0.49,0.43,
