,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.66,1.58,1.29,1.33,1.39,1.2,0.48,0.49,0.55,0.45,0.49,0.66,0.32,0.5,0.49,0.44
e_1,0.92,0.66,1.39,1.63,1.54,1.25,0.77,0.57,0.75,0.52,0.48,0.54,0.42,0.48,0.48,0.86
d_1,1.52,1.67,0.65,1.34,1.34,1.24,0.64,0.98,0.42,0.57,0.51,0.47,0.42,0.46,0.31,0.46
c_1,1.54,1.1,1.98,0.64,1.55,1.32,0.61,0.34,0.72,0.66,0.51,0.52,0.45,0.53,0.36,0.52
b_1,1.67,1.58,1.62,1.01,0.62,1.85,0.79,0.64,0.81,0.77,0.91,0.51,0.42,0.49,0.49,0.57
a_1,2.13,2.13,1.63,1.78,1.05,0.57,0.97,0.77,0.82,0.72,0.82,0.69,0.65,0.96,0.46,0.61
h_1,2.61,1.91,2.05,2.2,2.06,1.56,0.58,0.74,1.05,0.75,0.63,0.63,0.82,0.67,0.71,0.53
d_0,2.33,1.42,3.6,3.19,2.32,2.11,1.12,0.63,1.31,0.84,0.79,0.82,0.84,0.72,0.77,0.93
g_1,3.0,2.3,2.69,2.17,2.14,2.07,0.9,1.03,0.55,0.94,0.83,0.9,0.51,0.7,0.92,0.76
c_0,3.31,2.29,1.44,4.32,2.13,2.08,1.07,1.04,1.0,0.61,0.99,0.74,0.75,0.92,0.75,0.83
b_0,2.76,2.47,2.22,3.03,4.16,1.75,1.34,1.08,1.02,0.56,0.61,0.85,0.75,0.99,0.72,0.7
f_0,3.8,2.41,2.52,2.43,2.72,2.39,1.47,0.95,0.83,0.9,0.91,0.62,0.84,0.82,0.53,1.12
h_0,3.05,2.88,2.61,2.41,2.85,2.42,1.74,0.99,1.37,0.99,1.01,0.88,1.02,0.84,0.85,0.79
a_0,2.77,2.83,2.89,2.73,3.45,2.88,1.42,1.18,1.37,0.85,0.61,0.96,0.95,0.59,0.77,1.04
g_0,2.79,2.73,3.1,3.44,2.82,2.86,1.02,0.95,1.63,0.97,1.02,1.16,0.7,1.0,1.09,1.11
e_0,3.04,3.93,2.83,2.81,2.69,2.99,1.55,1.07,1.38,1.0,1.0,0.65,1.06,1.23,0.87,0.55
