,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.17,0.64,0.6,0.67,0.59,0.56,0.15,0.14,0.26,0.11,0.25,0.13,0.13,0.07,0.15,0.12
e_1,0.38,0.17,0.57,0.83,0.82,0.67,0.2,0.15,0.21,0.15,0.16,0.15,0.13,0.11,0.26,0.1
d_1,0.64,0.83,0.15,0.7,0.62,0.64,0.17,0.27,0.1,0.14,0.12,0.11,0.1,0.08,0.12,0.06
c_1,0.67,0.53,0.92,0.15,0.69,0.65,0.19,0.07,0.21,0.28,0.11,0.14,0.13,0.08,0.12,0.09
b_1,0.78,0.62,0.84,0.36,0.14,0.64,0.21,0.15,0.2,0.18,0.15,0.24,0.14,0.11,0.12,0.13
a_1,0.82,0.63,0.6,0.68,0.35,0.09,0.23,0.19,0.19,0.15,0.14,0.26,0.58,0.11,0.11,0.11
h_1,0.57,0.51,0.45,0.56,0.56,0.47,0.06,0.11,0.15,0.09,0.11,0.1,0.09,0.12,0.1,0.07
d_0,0.58,0.29,0.79,0.57,0.61,0.5,0.17,0.06,0.17,0.13,0.11,0.12,0.1,0.08,0.1,0.09
g_1,0.55,0.53,0.55,0.5,0.56,0.5,0.11,0.13,0.05,0.1,0.09,0.12,0.09,0.06,0.11,0.11
c_0,0.57,0.52,0.28,1.07,0.65,0.47,0.15,0.15,0.17,0.06,0.1,0.11,0.1,0.08,0.11,0.08
f_0,0.99,0.48,0.5,0.5,0.47,0.47,0.17,0.12,0.11,0.09,0.05,0.11,0.09,0.08,0.11,0.04
b_0,0.54,0.48,0.42,0.78,1.09,0.46,0.15,0.11,0.14,0.05,0.09,0.05,0.11,0.08,0.1,0.08
a_0,0.71,0.48,0.52,0.59,0.7,0.73,0.14,0.12,0.14,0.07,0.08,0.05,0.04,0.08,0.1,0.06
h_0,0.46,0.51,0.52,0.54,0.49,0.5,0.19,0.11,0.16,0.1,0.1,0.1,0.1,0.15,0.1,0.08
e_0,0.78,0.9,0.44,0.46,0.47,0.56,0.16,0.09,0.14,0.1,0.05,0.1,0.09,0.07,0.04,0.06
g_0,0.55,0.54,0.48,0.52,0.5,0.58,0.11,0.1,0.2,0.1,0.11,0.11,0.1,0.06,0.09,0.11
