,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.1,1.2,1.36,1.68,3.31,17.04,21.89,34.1,33.07,41.63,40.44,69.67,78.85,80.37,81.03
e_1,0.88,1.0,0.82,1.7,1.98,3.4,17.35,28.39,24.79,41.79,33.64,49.54,73.87,76.36,81.21,98.3
f_1,0.85,1.24,1.0,1.45,1.63,2.8,13.39,28.72,23.66,31.49,34.14,33.72,59.39,73.21,60.79,79.28
c_1,0.74,0.6,0.69,1.0,1.72,2.42,11.83,17.48,16.43,16.85,20.54,30.2,46.38,44.57,50.29,63.94
b_1,0.58,0.49,0.63,0.59,1.0,2.69,9.71,14.5,15.25,16.67,20.72,21.27,38.79,35.54,47.66,55.77
a_1,0.31,0.29,0.35,0.4,0.38,1.0,5.27,7.94,7.5,10.45,11.19,10.96,24.93,19.96,25.22,26.88
h_1,0.06,0.06,0.07,0.08,0.1,0.19,1.0,1.64,1.51,1.82,2.01,2.06,4.3,4.16,4.42,6.07
g_1,0.04,0.03,0.04,0.05,0.07,0.13,0.61,1.0,1.01,1.08,1.35,1.66,2.47,3.01,3.33,3.36
c_0,0.03,0.04,0.04,0.06,0.06,0.14,0.69,0.99,1.0,1.56,1.67,1.49,2.8,3.14,2.95,3.4
d_0,0.03,0.02,0.03,0.06,0.06,0.1,0.56,0.89,0.63,1.0,0.97,1.36,2.34,2.27,2.57,3.1
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.49,0.78,0.59,1.01,1.0,1.02,2.21,3.01,2.17,2.63
f_0,0.02,0.02,0.03,0.03,0.05,0.09,0.47,0.59,0.63,0.75,0.9,1.0,1.96,1.93,2.91,2.01
h_0,0.01,0.01,0.02,0.02,0.03,0.04,0.23,0.41,0.37,0.41,0.46,0.51,1.0,1.07,0.92,1.43
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.24,0.34,0.31,0.44,0.36,0.53,0.94,1.0,0.95,1.13
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.22,0.31,0.34,0.38,0.47,0.37,1.09,1.03,1.0,1.18
g_0,0.01,0.01,0.01,0.02,0.02,0.04,0.17,0.3,0.29,0.33,0.37,0.5,0.69,0.9,0.83,1.0
