,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.46,1.2,1.91,1.25,1.17,1.0,2.04,2.15,2.3,2.63,2.55,1.61,2.88,2.43,1.82,3.29
d_1,1.36,2.47,1.19,1.04,1.16,1.23,2.64,2.28,4.1,2.03,3.13,2.93,3.04,2.94,2.95,2.67
e_1,1.18,1.11,2.53,1.45,1.22,1.2,2.44,2.58,2.56,4.34,2.55,3.18,3.67,2.75,2.41,3.45
c_1,1.24,1.22,1.13,2.59,2.0,1.01,2.35,2.16,1.5,2.12,2.11,2.51,3.21,2.36,2.47,3.27
b_1,1.19,1.27,1.17,1.02,2.72,2.15,2.28,2.14,2.37,2.54,1.75,2.59,3.37,2.45,3.05,3.88
a_1,1.39,1.27,1.02,1.37,1.09,3.29,2.87,2.5,2.89,2.25,2.99,3.02,4.05,1.91,2.97,3.49
h_1,1.7,1.3,1.3,1.48,1.01,1.26,4.33,3.28,2.91,2.66,3.46,2.76,3.16,3.1,2.88,4.83
g_1,1.23,1.91,1.09,1.35,1.39,1.22,2.16,4.46,2.76,2.62,2.98,4.13,2.97,2.93,3.09,3.01
c_0,1.65,1.38,1.37,1.29,1.02,1.16,2.61,2.79,4.1,3.29,4.83,3.5,4.1,3.28,3.07,3.9
d_0,1.37,0.99,1.13,2.27,1.3,1.32,2.76,2.69,2.22,4.06,3.48,3.05,3.49,3.0,2.9,3.64
b_0,1.47,1.52,1.38,1.65,0.91,1.05,2.43,2.76,2.74,2.6,4.38,3.06,4.0,5.23,2.89,3.51
f_0,1.16,1.45,1.08,1.65,1.26,1.28,2.73,2.33,2.79,3.46,3.14,4.33,4.06,3.22,5.81,3.33
h_0,1.78,1.59,1.33,1.23,1.19,1.14,1.65,3.56,3.09,2.84,2.76,2.73,3.15,2.79,2.89,4.58
a_0,1.47,1.39,1.37,1.72,1.28,1.07,2.31,2.59,2.93,3.17,2.43,2.94,3.91,4.77,3.22,3.82
e_0,1.71,1.4,1.17,1.44,1.21,1.42,2.82,2.99,3.26,2.95,3.64,2.31,3.9,3.7,4.87,3.51
g_0,1.3,2.07,1.16,1.26,1.16,1.28,2.24,2.27,2.87,2.47,3.21,4.27,3.4,2.64,3.36,3.0
