,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.17,0.27,0.5,0.51,0.5,0.39,0.15,0.14,0.12,0.1,0.12,0.1,0.09,0.07,0.12,0.07
f_1,0.42,0.16,0.46,0.5,0.41,0.43,0.09,0.13,0.08,0.09,0.13,0.09,0.08,0.05,0.08,0.08
d_1,0.5,0.51,0.16,0.43,0.47,0.42,0.13,0.09,0.08,0.14,0.08,0.09,0.09,0.06,0.1,0.04
c_1,0.37,0.44,0.59,0.14,0.42,0.44,0.13,0.12,0.12,0.05,0.09,0.09,0.09,0.07,0.09,0.07
b_1,0.45,0.52,0.48,0.24,0.13,0.5,0.14,0.13,0.13,0.09,0.11,0.17,0.12,0.07,0.08,0.08
a_1,0.44,0.5,0.43,0.47,0.24,0.09,0.14,0.17,0.1,0.14,0.1,0.13,0.17,0.07,0.11,0.08
h_1,0.4,0.42,0.35,0.38,0.39,0.36,0.06,0.14,0.08,0.09,0.09,0.08,0.07,0.08,0.08,0.06
g_1,0.38,0.49,0.39,0.42,0.38,0.35,0.09,0.05,0.09,0.08,0.09,0.08,0.08,0.05,0.09,0.07
c_0,0.4,0.46,0.23,0.76,0.44,0.36,0.11,0.11,0.05,0.12,0.08,0.08,0.09,0.06,0.09,0.06
d_0,0.25,0.38,0.58,0.45,0.45,0.36,0.12,0.13,0.09,0.05,0.08,0.08,0.09,0.07,0.09,0.06
f_0,0.39,0.71,0.34,0.41,0.39,0.34,0.12,0.07,0.08,0.08,0.05,0.07,0.08,0.06,0.07,0.04
b_0,0.39,0.42,0.29,0.58,0.66,0.4,0.1,0.11,0.04,0.08,0.08,0.04,0.08,0.07,0.07,0.05
a_0,0.39,0.38,0.37,0.41,0.59,0.47,0.12,0.13,0.07,0.08,0.08,0.04,0.04,0.06,0.06,0.05
h_0,0.39,0.43,0.42,0.4,0.36,0.3,0.14,0.1,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06
e_0,0.5,0.53,0.35,0.42,0.38,0.31,0.11,0.12,0.07,0.07,0.04,0.07,0.08,0.06,0.04,0.05
g_0,0.39,0.48,0.33,0.42,0.42,0.38,0.09,0.13,0.07,0.09,0.08,0.07,0.08,0.04,0.07,0.07
