,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.4,0.72,0.87,0.66,0.71,0.72,1.48,2.72,1.65,1.62,1.87,1.7,2.13,1.91,2.4,1.0
f_1,1.16,2.46,0.77,0.71,0.76,0.86,1.37,1.49,1.18,1.79,0.61,1.51,1.64,1.42,1.83,1.45
c_1,0.75,0.74,2.55,0.82,1.25,0.68,1.37,1.4,1.29,0.63,1.79,1.47,2.42,1.58,2.36,1.64
d_1,0.74,0.88,0.64,2.57,0.73,0.66,1.47,0.94,1.42,2.63,1.68,1.92,2.28,1.46,2.21,1.7
b_1,0.78,0.7,0.63,0.74,2.7,1.39,1.52,1.39,1.67,1.42,2.03,0.87,2.38,1.61,1.69,1.61
a_1,0.74,0.7,0.85,0.94,0.68,3.16,1.49,1.55,1.45,1.88,2.04,2.06,2.11,0.73,2.11,2.45
h_1,0.8,1.24,1.09,1.15,0.94,0.89,3.81,2.2,2.49,2.02,2.16,2.08,1.41,2.07,3.17,2.33
d_0,0.89,1.07,1.83,0.55,1.05,0.89,2.04,3.61,1.63,1.95,2.13,1.97,2.57,2.37,2.41,2.48
g_1,0.9,1.03,1.17,1.38,0.89,1.14,1.72,2.08,4.28,1.7,2.74,1.96,2.36,2.34,1.28,1.84
c_0,1.08,1.05,0.81,1.08,1.06,0.8,2.27,2.41,2.17,3.83,2.47,3.68,2.73,2.35,2.86,2.12
f_0,0.95,0.99,1.15,1.15,0.84,0.84,2.29,2.35,2.18,2.14,3.92,2.66,3.12,2.6,2.62,4.27
b_0,0.99,1.24,1.1,0.92,0.62,0.67,2.44,2.67,2.17,2.08,2.23,4.23,2.96,4.13,2.7,2.5
h_0,0.84,1.54,0.88,1.0,1.0,0.89,1.44,2.24,2.31,2.32,1.99,2.28,1.71,2.46,3.43,1.95
a_0,1.04,1.26,1.02,1.12,0.9,0.66,2.26,2.47,1.69,2.13,2.46,2.18,2.91,4.86,2.59,2.61
g_0,0.97,0.95,0.87,1.34,1.18,0.77,1.71,2.2,1.66,2.22,3.03,2.39,2.26,2.63,1.77,2.93
e_0,0.68,1.14,1.09,1.15,1.16,0.64,2.35,2.42,2.38,2.95,2.02,2.29,3.18,2.83,2.73,5.05
