,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.27,0.93,1.04,0.84,0.88,0.85,1.1,0.92,1.02,1.0,0.99,0.93,0.74,0.96,1.09
e_1,0.79,1.0,1.0,1.21,1.02,1.02,1.08,1.08,0.89,1.36,1.03,1.24,1.02,1.06,1.04,1.08
d_1,1.08,1.01,1.0,0.92,1.02,0.97,1.02,0.81,1.31,0.92,1.06,0.95,0.97,1.05,0.9,0.81
c_1,0.98,0.82,1.09,1.0,1.4,1.0,1.0,1.07,0.81,0.7,0.84,0.9,0.89,0.95,0.94,0.97
b_1,1.2,0.99,0.99,0.71,1.0,1.28,1.0,0.99,1.17,1.0,0.99,1.0,1.2,1.01,0.98,1.04
a_1,1.11,0.97,1.02,1.01,0.78,1.0,1.16,0.98,1.08,1.05,1.19,0.94,1.08,1.11,1.06,1.11
h_1,1.16,0.95,1.02,0.97,1.01,0.87,1.0,1.12,0.86,0.88,0.9,1.02,0.98,0.91,1.07,1.21
g_1,0.93,0.9,1.18,0.93,1.02,1.0,0.94,1.0,0.93,0.95,0.92,1.22,0.83,0.99,1.0,0.97
c_0,1.07,1.14,0.76,1.23,0.82,0.93,1.13,1.09,1.0,1.36,1.49,1.05,1.07,1.06,1.14,1.03
d_0,0.95,0.75,1.08,1.43,1.02,0.97,1.12,1.06,0.74,1.0,0.93,0.95,0.99,1.17,1.09,1.19
b_0,1.01,0.91,0.94,1.21,1.01,0.86,1.09,1.06,0.7,1.06,1.0,0.97,1.11,1.07,1.41,1.06
f_0,0.96,0.81,1.09,1.07,1.01,1.07,0.98,0.82,0.99,1.03,0.98,1.0,1.13,1.67,1.07,0.83
h_0,1.04,1.0,1.07,1.08,0.83,0.93,1.03,1.23,0.93,0.98,0.92,0.92,1.0,0.88,0.9,1.09
e_0,1.36,0.97,0.95,1.04,0.99,0.93,1.14,0.99,0.91,0.87,0.97,0.62,1.11,1.0,1.02,0.94
a_0,1.06,0.93,1.03,1.11,0.96,0.89,0.95,1.0,0.92,1.01,0.73,0.95,1.16,0.99,1.0,1.09
g_0,0.91,0.95,1.24,1.09,0.91,0.93,0.8,1.05,0.97,0.84,1.0,1.17,0.96,1.06,0.93,1.0
