,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.51,0.13,0.06,0.09,0.08,0.08,0.34,0.27,0.36,0.43,0.44,,0.65,0.39,0.3,0.43
e_1,0.08,5.86,0.08,0.08,0.07,0.05,0.23,0.35,0.47,0.64,0.43,0.4,0.51,0.41,,0.27
d_1,0.08,0.07,5.98,0.11,0.06,0.09,0.29,0.33,0.58,,0.34,0.3,0.62,0.35,0.36,0.7
c_1,0.08,0.07,0.04,6.7,0.15,0.08,0.34,0.27,,0.26,0.4,0.4,0.68,0.32,0.45,0.71
b_1,0.07,0.07,0.09,0.07,7.44,0.12,0.47,0.3,0.35,0.38,,0.46,0.52,0.27,0.35,0.42
a_1,0.06,0.07,0.09,0.08,0.09,11.18,0.32,0.26,0.36,0.47,0.36,,0.6,,,0.67
h_1,0.39,0.29,0.27,0.31,0.3,0.32,13.73,1.2,1.36,1.41,1.4,1.09,,1.81,1.44,2.95
g_1,0.2,0.3,0.45,0.17,0.21,0.32,1.04,17.54,1.63,1.35,1.05,1.86,2.65,1.37,2.32,
c_0,0.36,0.45,0.35,,0.32,0.46,1.36,1.14,12.9,1.91,4.01,1.91,2.73,1.73,1.64,2.74
d_0,0.5,0.36,,0.73,0.37,0.39,1.41,1.24,1.91,12.66,1.9,1.89,2.72,2.25,1.16,3.3
b_0,0.4,0.31,0.41,0.3,,,1.7,1.36,1.97,2.37,14.41,1.36,3.51,3.51,1.75,3.38
f_0,,0.36,0.42,0.34,0.5,0.34,1.14,1.33,1.76,2.47,2.41,15.58,2.22,1.55,4.01,3.07
h_0,0.78,0.53,0.69,0.51,0.67,0.44,,3.0,2.73,2.81,1.86,2.99,,2.71,3.06,6.46
a_0,0.37,0.49,0.47,0.38,0.27,,1.47,1.63,1.36,2.06,1.65,2.11,4.28,18.99,,1.98
e_0,0.49,,0.3,0.45,0.33,0.43,1.44,1.35,2.26,1.27,1.52,2.25,4.52,,22.77,2.64
g_0,0.45,0.46,0.97,0.47,0.53,0.51,2.19,,2.97,2.94,1.82,6.27,3.23,2.69,2.64,
