,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.39,1.71,1.67,1.6,4.83,24.04,34.26,37.42,34.43,46.75,,69.89,99.29,102.33,164.07
e_1,0.72,1.0,1.1,1.57,1.82,4.37,23.65,31.16,34.01,48.68,39.71,64.68,89.91,113.74,,154.36
d_1,0.58,0.91,1.0,1.12,1.35,3.65,19.86,21.33,34.11,,27.97,50.28,51.94,70.12,83.72,93.68
c_1,0.6,0.64,0.89,1.0,1.53,2.92,17.8,22.72,,17.83,32.9,44.65,59.65,49.13,107.4,80.86
b_1,0.62,0.55,0.74,0.65,1.0,2.31,11.58,17.78,21.62,16.79,,40.69,40.82,52.36,,72.63
a_1,0.21,0.23,0.27,0.34,0.43,1.0,7.23,9.7,11.04,11.29,13.3,12.56,18.63,,,40.02
h_1,0.04,0.04,0.05,0.06,0.09,0.14,1.0,2.29,1.38,1.35,2.06,2.55,,4.65,4.98,7.82
g_1,0.03,0.03,0.05,0.04,0.06,0.1,0.44,1.0,1.3,1.06,1.4,2.72,2.04,3.26,2.54,
c_0,0.03,0.03,0.03,,0.05,0.09,0.73,0.77,1.0,1.17,1.67,2.21,2.2,2.19,3.67,4.75
d_0,0.03,0.02,,0.06,0.06,0.09,0.74,0.94,0.86,1.0,1.12,1.55,3.15,2.42,2.99,4.19
b_0,0.02,0.03,0.04,0.03,,0.08,0.49,0.72,0.6,0.89,1.0,1.41,1.91,3.45,3.19,2.54
f_0,,0.02,0.02,0.02,0.02,0.08,0.39,0.37,0.45,0.64,0.71,1.0,1.77,,3.17,2.2
h_0,0.01,0.01,0.02,0.02,0.02,0.05,,0.49,0.45,0.32,0.52,0.56,,1.05,1.76,1.54
a_0,0.01,0.01,0.01,0.02,0.02,,0.21,0.31,0.46,0.41,0.29,,0.95,1.0,,1.61
e_0,0.01,,0.01,0.01,,,0.2,0.39,0.27,0.33,0.31,0.32,0.57,,1.0,
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,,0.21,0.24,0.39,0.46,0.65,0.62,,
