,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.66,0.73,1.2,1.12,1.03,1.01,0.51,0.52,0.51,0.4,0.38,0.5,0.39,0.32,0.42,0.31
f_1,1.16,0.64,1.12,1.11,1.04,0.91,0.36,0.5,0.39,0.42,0.39,0.45,0.35,0.25,0.31,0.37
c_1,0.91,1.08,0.64,1.18,1.3,1.04,0.55,0.49,0.27,0.38,0.44,0.41,0.38,0.32,0.35,0.32
d_1,1.26,1.14,1.13,0.63,1.13,0.95,0.5,0.36,0.59,0.42,0.44,0.4,0.36,0.3,0.37,0.22
b_1,1.28,1.32,0.78,1.16,0.62,1.35,0.51,0.55,0.39,0.57,0.52,0.38,0.36,0.38,0.42,0.38
a_1,1.27,1.46,1.3,1.27,0.76,0.58,0.75,0.72,0.54,0.62,0.5,0.52,0.64,0.44,0.58,0.43
h_1,1.76,2.33,1.66,1.59,1.65,1.24,0.55,0.79,0.66,0.63,0.63,0.59,0.61,0.6,0.6,0.59
g_1,1.94,1.82,1.82,1.93,1.82,1.47,0.72,0.53,0.72,0.72,0.7,0.72,0.67,0.42,0.64,0.68
d_0,1.3,1.85,2.28,2.15,2.07,1.84,0.93,1.01,0.58,0.79,0.66,0.79,0.69,0.63,0.69,0.56
b_0,1.84,1.91,2.51,1.6,2.45,1.6,0.91,0.78,0.74,0.55,0.47,0.72,0.77,0.57,0.62,0.5
c_0,2.13,2.07,2.89,1.29,1.87,2.02,0.91,0.8,1.04,0.77,0.56,0.73,0.67,0.62,0.7,0.56
f_0,2.04,2.82,1.82,1.88,2.2,1.99,0.96,0.64,0.75,0.71,0.71,0.54,0.72,0.63,0.79,0.42
a_0,2.19,2.5,2.26,2.17,3.0,2.09,0.98,1.0,0.87,0.5,0.66,0.74,0.55,0.69,0.6,0.6
h_0,2.25,2.43,2.26,2.26,2.13,1.8,1.11,1.08,0.78,0.77,0.74,0.78,0.69,0.78,0.63,0.69
e_0,2.83,3.19,2.25,2.05,2.43,1.94,0.92,0.79,0.85,0.93,0.79,0.5,0.92,0.79,0.53,0.67
g_0,2.39,2.43,2.25,2.71,2.29,2.17,0.87,1.21,1.0,0.89,0.85,0.94,0.75,0.58,0.74,0.75
