,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,6.01,2.25,1.25,1.27,1.04,1.39,4.25,4.66,5.24,5.49,6.32,2.5,6.07,8.35,4.01,8.29
e_1,1.29,6.16,0.97,1.51,1.41,1.2,5.12,3.88,6.05,11.64,7.01,5.93,7.18,8.77,2.88,9.04
d_1,1.5,1.24,6.31,1.09,1.19,1.41,5.28,4.91,11.2,2.01,7.85,8.82,6.95,9.71,6.64,9.7
c_1,1.06,1.34,1.26,6.46,2.62,1.1,3.86,3.33,1.62,5.59,3.97,5.72,5.92,9.11,5.41,8.97
b_1,1.36,1.02,1.53,1.41,7.02,2.03,4.09,3.95,5.26,5.63,2.35,6.45,5.36,10.3,7.48,9.72
a_1,1.51,1.16,1.46,1.32,1.07,10.35,4.84,4.98,6.59,6.61,5.93,6.35,2.26,9.77,7.1,10.88
h_1,2.23,1.34,1.99,1.43,1.34,1.18,17.07,7.72,8.15,7.13,7.51,7.14,6.59,6.03,7.93,14.94
g_1,1.63,1.2,2.63,1.67,1.28,1.38,4.93,20.25,5.68,5.74,8.04,12.84,6.88,11.02,9.93,5.72
c_0,1.77,1.47,1.88,0.83,1.09,1.81,7.39,7.22,16.58,7.16,16.02,9.08,11.43,12.99,8.22,11.76
d_0,1.6,1.53,0.72,3.0,1.6,1.68,7.71,5.46,4.97,16.12,6.97,7.6,7.4,11.64,6.52,10.22
b_0,1.93,1.57,1.92,1.71,0.7,1.14,6.2,6.27,8.01,7.63,18.11,9.54,18.18,13.44,7.05,10.73
f_0,1.02,1.42,1.87,1.75,1.44,1.73,6.55,7.63,8.22,7.05,8.01,19.63,9.4,13.51,17.1,10.84
a_0,1.77,1.25,2.13,1.63,1.69,0.76,7.27,6.53,7.5,6.75,7.99,8.14,22.68,13.86,8.82,11.43
h_0,2.53,1.42,1.95,1.37,1.27,1.71,3.51,9.24,7.37,7.26,8.79,7.07,7.67,6.68,9.06,14.0
e_0,1.77,0.58,2.0,2.06,1.21,1.63,7.67,7.52,6.55,7.99,8.37,9.26,8.49,11.4,28.22,14.2
g_0,1.35,1.34,2.94,1.57,1.44,1.65,6.92,3.5,7.14,5.44,8.84,12.5,8.26,9.74,9.0,6.55
