,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.14,9.49,10.67,10.16,11.43,13.94,2.43,2.14,2.83,1.94,1.76,8.14,0.97,2.14,1.8,2.09
e_1,6.07,1.14,12.66,14.61,13.02,10.92,3.31,2.35,3.22,2.66,2.23,3.31,1.65,2.63,1.74,7.98
d_1,13.57,15.12,1.13,10.32,9.78,11.47,2.91,2.38,2.29,11.56,3.33,2.24,1.7,1.65,1.09,2.12
c_1,13.62,11.2,12.34,1.14,10.26,10.53,3.96,7.24,3.25,1.44,2.48,2.1,1.63,2.46,2.04,2.19
b_1,17.0,16.69,12.7,7.77,1.15,16.78,4.49,3.78,4.19,3.21,15.17,2.92,3.03,3.25,2.04,2.58
a_1,19.47,34.36,29.39,20.9,11.77,1.15,5.09,5.7,7.83,6.42,5.15,4.3,3.48,19.35,3.82,4.19
h_1,28.47,23.91,22.37,23.76,26.04,23.23,1.92,4.81,9.56,4.68,6.74,4.81,14.93,5.53,3.74,5.4
c_0,37.96,29.74,16.75,113.86,36.11,30.71,10.81,2.62,11.02,9.49,6.91,5.88,4.92,7.44,4.84,5.08
g_1,38.35,34.36,37.7,42.33,37.61,27.04,7.42,5.06,1.91,6.49,5.93,6.01,3.6,8.06,10.08,7.98
d_0,44.21,17.78,115.6,38.4,37.1,32.36,10.95,6.35,14.77,2.66,7.69,6.53,5.16,6.45,5.19,5.88
b_0,35.12,38.89,43.9,55.97,150.44,35.53,10.07,3.82,11.82,7.31,2.52,7.25,5.89,11.38,6.48,8.82
f_0,139.19,36.86,42.29,42.33,39.82,42.14,12.17,7.08,7.74,8.05,6.2,2.53,5.97,8.6,3.3,6.32
h_0,49.45,44.24,55.05,50.03,58.87,47.68,39.82,10.2,19.7,12.23,11.14,11.02,18.17,8.8,8.07,10.15
a_0,62.63,48.48,61.93,70.26,57.62,,19.04,11.22,18.06,9.64,5.06,8.67,9.95,2.89,9.55,15.23
g_0,59.65,58.02,61.93,56.93,79.65,64.71,11.84,14.32,54.17,10.1,11.62,13.56,7.74,12.09,20.17,12.88
e_0,101.57,117.97,50.26,71.78,75.22,62.48,18.64,11.41,17.57,10.97,13.0,5.81,11.61,12.48,9.31,2.91
