,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.32,1.68,2.38,3.16,23.98,28.51,34.9,54.92,41.83,49.93,79.25,75.09,95.6,123.4
f_1,1.19,1.0,1.13,1.47,1.85,3.46,14.78,27.16,25.43,27.23,35.14,33.33,54.55,64.09,69.61,89.84
d_1,0.76,0.88,1.0,1.47,1.73,3.04,18.04,35.24,24.52,28.14,28.83,37.81,63.42,58.28,87.3,63.96
c_1,0.59,0.68,0.68,1.0,1.8,1.72,11.77,15.26,22.26,13.76,22.35,28.39,42.5,42.13,55.18,66.58
b_1,0.42,0.54,0.58,0.55,1.0,2.22,10.7,12.09,11.09,15.47,10.48,20.54,33.52,30.69,41.47,47.98
a_1,0.32,0.29,0.33,0.58,0.45,1.0,7.02,8.72,9.64,9.14,14.82,14.95,27.38,,29.75,38.76
h_1,0.04,0.07,0.06,0.09,0.1,0.14,1.0,1.18,2.02,1.79,2.02,2.39,3.7,3.53,4.37,6.46
c_0,0.03,0.04,0.03,0.06,0.08,0.12,0.84,1.0,1.36,1.18,1.86,1.67,3.19,3.27,3.52,3.97
g_1,0.03,0.04,0.04,0.05,0.09,0.1,0.49,0.77,1.0,0.93,1.12,1.49,1.78,2.27,2.35,2.55
d_0,0.02,0.04,0.03,0.07,0.07,0.1,0.54,0.84,1.07,1.0,1.24,1.18,2.52,2.03,2.69,3.42
b_0,0.02,0.03,0.03,0.05,0.11,0.06,0.52,0.56,0.86,0.84,1.0,1.26,1.65,3.13,2.44,2.58
f_0,0.02,0.03,0.03,0.04,0.05,0.07,0.43,0.62,0.66,0.79,0.74,1.0,1.64,2.01,2.77,2.05
h_0,0.01,0.02,0.02,0.02,0.03,0.04,0.27,0.31,0.57,0.39,0.59,0.59,1.0,0.87,1.04,1.48
a_0,0.01,0.02,0.02,0.03,0.03,,0.27,0.33,0.42,0.51,0.33,0.53,1.21,1.0,1.16,1.3
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.23,0.3,0.43,0.38,0.41,0.36,0.97,0.81,1.0,1.06
g_0,0.01,0.01,0.02,0.02,0.02,0.02,0.15,0.25,0.4,0.29,0.38,0.5,0.66,0.74,0.89,1.0
