,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.3,0.94,1.03,0.85,0.84,0.86,1.07,0.9,0.93,1.0,0.93,0.88,0.68,0.95,1.13
e_1,0.77,1.0,1.03,1.17,0.98,1.11,1.1,1.13,0.9,1.42,1.02,1.28,0.99,1.2,1.12,1.11
d_1,1.06,0.98,1.0,0.92,1.01,0.98,1.02,0.78,1.37,0.89,1.05,0.97,0.98,1.04,0.88,0.84
c_1,0.99,0.85,1.08,1.0,1.49,0.95,0.95,1.05,0.83,0.7,0.86,0.88,0.91,0.98,0.93,0.94
b_1,1.17,1.01,0.99,0.67,1.0,1.34,1.0,1.02,1.04,1.05,0.93,0.99,1.22,0.99,0.92,0.99
a_1,1.18,0.89,1.04,1.04,0.75,1.0,1.15,1.03,1.14,1.06,1.17,0.97,1.14,1.15,1.2,1.05
h_1,1.18,0.92,1.0,1.02,1.01,0.86,1.0,1.09,0.9,0.89,0.87,1.03,0.97,0.85,1.0,1.32
g_1,0.89,0.88,1.21,0.95,1.02,1.04,0.95,1.0,0.84,0.9,0.97,1.24,0.86,0.96,0.97,0.89
c_0,1.12,1.16,0.72,1.19,0.84,0.9,1.1,1.14,1.0,1.36,1.59,1.05,1.1,1.09,1.08,1.01
d_0,0.99,0.73,1.03,1.46,1.0,0.91,1.12,1.12,0.72,1.0,0.94,0.92,0.99,1.19,1.08,1.09
b_0,1.0,0.93,0.92,1.28,1.04,0.88,1.15,1.05,0.67,1.06,1.0,0.96,1.12,1.04,1.51,1.04
f_0,1.04,0.76,1.05,1.18,0.96,1.01,0.98,0.79,0.98,1.06,1.02,1.0,1.12,1.75,1.05,0.79
h_0,1.1,1.03,1.0,1.14,0.81,0.94,1.02,1.2,0.94,0.95,0.92,0.9,1.0,0.81,0.97,1.05
e_0,1.44,0.92,0.92,1.08,1.01,0.89,1.21,1.03,0.89,0.85,0.98,0.6,1.24,1.0,1.03,0.97
a_0,1.05,0.91,1.04,1.14,1.07,0.85,1.01,1.06,0.96,0.97,0.68,0.92,1.08,0.98,1.0,1.11
g_0,0.93,0.94,1.23,1.05,0.94,0.97,0.74,1.05,0.97,0.87,1.03,1.2,0.99,1.01,0.9,1.0
