,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.79,0.85,1.13,1.06,0.81,0.67,0.93,0.69,0.59,0.7,0.76,0.52,0.57,0.65,0.6
f_1,1.27,1.0,0.99,0.93,0.84,0.69,0.54,0.59,0.7,0.6,0.53,0.55,0.62,0.49,0.48,0.55
d_1,1.17,1.01,1.0,0.91,0.83,0.9,0.78,0.65,0.56,0.85,0.72,0.55,0.61,0.61,0.6,0.48
c_1,0.89,1.07,1.11,1.0,1.28,0.83,0.78,0.48,0.6,0.51,0.55,0.57,0.54,0.64,0.56,0.62
b_1,0.94,1.18,1.21,0.78,1.0,1.25,0.76,0.73,0.78,0.75,0.55,0.69,0.57,0.67,0.65,0.49
a_1,1.24,1.42,1.1,1.2,0.81,1.0,0.94,0.7,0.9,0.8,0.88,0.75,0.64,0.7,0.59,0.69
h_1,1.5,1.79,1.38,1.3,1.31,1.03,1.0,0.89,0.94,0.78,0.78,0.76,0.79,0.83,0.72,0.9
d_0,1.05,1.57,1.51,2.14,1.48,1.46,1.11,1.0,1.1,0.8,0.97,0.87,0.93,0.97,0.83,0.9
g_1,1.39,1.32,1.81,1.68,1.36,1.11,1.08,0.9,1.0,1.04,0.84,1.16,0.98,0.77,0.88,0.95
c_0,1.62,1.65,1.21,1.87,1.26,1.17,1.29,1.18,1.02,1.0,1.46,0.97,1.03,0.91,0.84,1.07
b_0,1.42,1.89,1.41,1.83,1.58,1.15,1.27,0.95,1.13,0.69,1.0,0.97,1.46,1.02,0.85,0.89
f_0,1.25,1.93,1.76,1.81,1.49,1.36,1.28,1.1,0.87,1.06,1.05,1.0,1.08,0.98,1.47,0.8
a_0,1.93,1.6,1.51,1.87,1.91,1.51,1.31,1.14,1.06,0.96,0.69,0.98,1.0,1.03,0.98,0.87
h_0,1.77,2.04,1.67,1.61,1.56,1.32,1.15,1.05,1.24,1.05,0.98,0.99,0.98,1.0,0.84,1.17
e_0,1.57,2.17,1.62,1.86,1.53,1.77,1.32,1.22,1.17,1.25,1.31,0.75,1.03,1.15,1.0,1.03
g_0,1.69,1.85,2.07,1.56,1.93,1.43,1.12,1.11,1.05,1.01,1.13,1.21,1.14,0.88,1.01,1.0
