,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.37,0.91,0.96,0.85,0.69,0.55,0.71,0.58,0.5,0.57,0.63,0.51,0.49,0.55,0.41
e_1,0.72,1.0,1.01,1.05,1.01,0.98,0.65,0.7,1.01,0.69,0.72,0.71,0.56,0.63,0.62,0.6
d_1,1.11,0.99,1.0,0.99,0.98,0.8,0.78,0.58,0.65,0.81,0.71,0.6,0.64,0.57,0.43,0.57
c_1,1.05,0.95,1.02,1.0,1.26,0.88,0.76,0.64,0.46,0.59,0.52,0.66,0.59,0.67,0.54,0.53
b_1,1.16,0.99,1.02,0.8,1.0,1.31,0.87,0.72,0.72,0.76,0.64,0.6,0.7,0.51,0.7,0.65
a_1,1.44,1.03,1.26,1.13,0.77,1.0,0.96,0.87,0.77,0.81,0.83,0.76,0.87,0.8,0.63,0.66
h_1,1.82,1.43,1.34,1.27,1.16,1.02,1.0,1.11,0.95,0.93,0.87,0.77,0.85,0.75,1.09,0.82
g_1,1.38,1.49,1.77,1.58,1.36,1.17,0.91,1.0,1.05,0.93,0.93,1.16,0.77,0.9,0.83,0.82
d_0,1.65,1.0,1.61,2.2,1.35,1.28,1.08,0.91,1.0,0.83,1.0,0.84,0.9,0.89,0.92,1.01
c_0,2.0,1.48,1.24,1.65,1.22,1.18,1.05,1.1,1.06,1.0,1.39,0.76,1.09,1.07,0.98,1.02
b_0,1.89,1.32,1.38,1.96,1.51,1.16,1.18,1.12,0.98,0.7,1.0,0.88,0.92,1.22,0.88,0.91
f_0,1.68,1.33,1.75,1.59,1.59,1.42,1.24,0.8,1.15,1.3,1.12,1.0,1.0,0.87,0.81,1.38
h_0,2.03,1.75,1.59,1.63,1.42,1.12,1.19,1.31,1.08,0.91,1.06,0.96,1.0,0.94,1.13,0.78
a_0,2.15,1.58,1.77,1.49,1.8,1.32,1.32,1.1,1.2,0.92,0.83,1.13,1.05,1.0,1.0,0.97
g_0,1.74,1.61,2.19,1.9,1.59,1.5,0.88,1.22,1.15,1.04,1.15,1.27,0.88,0.97,1.0,0.95
e_0,2.56,1.61,1.66,1.9,1.61,1.58,1.27,1.3,1.08,0.96,1.17,0.72,1.26,1.07,1.04,1.0
