,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,100.39,27.21,49.83,60.94,75.09,200.53,4531.66,9276.1,18091.01,15657.97,20172.86,21061.04,53105.99,74792.04,38199.06,128721.55
f_1,55.54,102.12,50.75,54.83,61.41,168.34,4166.64,7741.42,10007.21,12208.76,8869.29,18435.73,46576.74,63211.59,43306.11,111014.61
d_1,25.04,29.25,150.8,44.14,58.71,207.9,3756.65,6179.05,3818.27,27423.66,13786.34,17367.22,43687.45,51224.87,62913.97,76640.16
c_1,24.55,28.72,41.37,156.34,98.43,158.09,3941.2,6687.34,7707.43,5295.3,14091.87,14651.91,44732.06,56824.71,61158.16,95603.02
b_1,23.89,26.21,38.22,37.15,193.88,275.67,3273.82,8088.69,7352.38,13645.89,15771.7,6561.18,37935.58,44600.47,54351.66,88504.28
a_1,17.48,21.11,26.18,28.36,28.95,486.45,1955.82,4364.94,5448.68,9032.61,9905.04,12030.37,38590.38,34050.03,37812.04,74755.33
h_1,8.92,13.28,18.82,15.47,23.47,70.11,2695.1,3834.52,2854.69,4879.88,5833.23,5755.26,8704.23,19756.13,22155.94,39444.94
g_1,6.94,8.71,20.46,13.53,13.69,50.65,889.5,4849.53,1976.88,3554.3,6729.06,5372.78,12485.11,16539.89,14934.64,17271.43
d_0,5.77,8.49,7.14,23.92,19.76,49.72,1213.34,2485.09,4425.42,2968.16,5127.17,5879.36,12352.03,18112.22,19911.53,27777.35
c_0,6.52,9.32,9.82,7.95,12.73,51.38,1094.23,2306.96,2613.14,6041.2,4267.1,8569.84,11304.21,15358.25,19711.47,29015.56
f_0,5.84,4.7,13.64,13.61,14.18,40.22,956.71,1822.17,2105.62,3312.18,6870.16,4723.08,13372.96,14883.44,36075.82,22684.83
b_0,6.05,8.17,10.96,11.71,10.41,36.68,977.39,1812.8,1990.14,2139.64,4361.66,7148.58,10919.93,25320.93,16690.86,31509.58
h_0,4.66,6.77,8.77,8.95,11.09,22.27,493.17,1674.52,1549.29,1923.18,2520.89,3490.96,5202.49,9466.9,13435.86,21333.39
a_0,4.28,4.87,9.35,6.32,9.93,,737.7,1220.78,1298.99,2002.41,3557.12,2143.79,10297.97,18974.17,14340.18,18907.57
e_0,2.87,5.86,7.22,8.49,9.69,31.2,642.09,1393.66,1410.48,2036.14,1603.99,2757.03,7215.45,5559.48,20163.16,18351.19
g_0,3.26,3.39,9.71,6.9,8.83,23.29,515.11,715.31,1126.78,1673.61,3004.75,2316.72,5918.97,6654.14,9488.84,10614.72
