,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.93,0.07,0.1,0.1,0.09,0.07,0.08,0.11,0.05,0.06,0.06,0.06,0.06,0.03,0.05,
f_1,0.17,0.93,0.12,0.09,0.09,0.05,0.07,0.06,0.06,0.06,0.06,,0.07,0.05,0.04,0.03
d_1,0.13,0.1,0.93,0.09,0.09,,0.07,,0.07,0.12,0.06,0.06,0.05,0.04,0.05,0.04
c_1,0.11,0.11,0.1,0.93,0.17,0.06,0.08,0.07,0.06,,0.07,0.05,0.06,0.04,0.06,0.03
b_1,0.11,0.11,0.12,0.08,0.93,0.14,0.06,0.09,0.05,0.08,,0.08,0.04,0.05,0.05,0.06
a_1,0.12,0.16,,0.15,0.08,0.93,0.07,0.09,,0.07,0.04,0.05,0.07,,0.07,0.05
h_1,0.27,0.39,0.28,0.22,0.2,0.25,0.71,0.2,0.18,0.2,0.16,0.13,,0.12,0.2,0.16
d_0,0.32,0.39,,0.51,0.28,0.24,0.21,0.58,0.19,0.23,0.18,0.2,0.25,0.13,0.2,0.13
g_1,0.31,0.32,0.37,0.3,0.27,,0.18,0.17,0.71,0.19,0.23,0.21,0.19,0.12,,
c_0,0.36,0.47,0.25,,0.19,0.23,0.28,0.18,0.2,0.59,0.33,0.19,0.2,0.13,0.25,0.16
b_0,0.36,0.36,0.32,0.28,,0.32,0.26,0.27,0.17,0.19,0.59,0.2,0.25,0.22,0.19,0.16
f_0,0.36,,0.33,0.37,0.26,0.25,0.32,0.26,0.17,0.22,0.22,0.59,0.22,0.18,0.14,0.23
h_0,0.51,0.57,0.53,0.42,0.46,0.31,,0.26,0.35,0.3,0.28,0.3,,0.19,0.27,0.18
a_0,0.46,0.32,0.42,0.36,0.38,,0.22,0.33,0.24,0.31,0.2,0.18,0.28,0.58,0.24,
g_0,0.59,0.45,0.72,0.42,0.46,0.28,0.28,0.3,,0.21,0.31,0.48,0.26,0.17,,0.24
e_0,,0.52,0.45,0.64,0.28,0.35,0.19,0.25,,0.23,0.25,0.24,0.23,,0.17,0.58
