,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.46,21.07,33.13,30.43,24.39,27.36,8.53,7.61,6.98,9.68,11.39,9.08,3.96,6.27,5.2,
f_1,34.63,0.45,31.9,37.25,24.03,56.16,6.34,8.18,6.71,9.19,5.24,,3.49,6.74,5.32,9.14
d_1,36.26,29.95,0.45,38.31,43.75,28.0,9.57,,7.23,5.24,6.53,6.33,4.92,6.72,3.11,4.73
c_1,38.78,32.13,42.25,0.42,22.97,41.93,8.71,4.34,,10.01,8.46,10.2,4.34,10.64,4.32,7.46
b_1,34.16,45.91,47.47,23.1,0.38,31.66,13.53,6.92,10.8,16.74,,7.92,5.45,,4.33,6.01
a_1,59.12,48.77,57.05,31.46,41.02,0.31,14.51,8.48,12.36,,,,7.72,,6.61,
h_1,16.5,14.65,22.83,19.99,22.38,17.31,0.38,3.21,3.54,6.61,2.61,4.57,,,2.33,1.89
d_0,8.96,14.36,,12.8,19.19,12.28,4.45,0.54,2.73,3.88,4.12,2.53,2.22,2.4,2.16,3.11
c_0,14.41,19.85,9.87,,19.13,17.28,3.26,2.87,0.52,4.16,2.57,2.26,1.78,2.31,3.13,
g_1,23.89,19.45,19.34,27.63,26.94,,3.78,3.84,4.24,0.33,4.03,3.5,2.65,4.52,,3.42
b_0,16.51,21.36,16.39,22.83,,,5.49,2.98,1.57,5.01,0.48,3.83,2.28,3.36,2.17,2.9
f_0,20.89,,15.41,16.39,17.94,,6.6,3.36,3.58,4.37,2.93,0.43,2.98,3.25,1.31,
h_0,16.71,12.47,11.25,13.66,11.22,10.1,,2.02,2.72,2.96,2.08,2.34,,3.4,2.06,
a_0,19.63,21.78,16.24,20.96,,,,4.37,3.34,5.21,2.39,4.55,2.72,0.38,,
g_0,15.99,15.0,12.09,13.52,17.88,17.91,2.49,2.97,2.95,,3.76,3.3,1.11,,,2.91
e_0,,32.69,18.37,16.09,17.87,,5.95,4.51,,7.05,5.46,,,,2.88,0.39
