,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.42,0.86,0.89,0.91,0.88,0.82,0.21,0.3,0.2,0.19,0.26,0.17,0.1,0.15,0.17,0.17
d_1,1.05,0.41,1.07,1.0,0.91,0.76,0.25,0.18,0.23,0.18,0.16,0.17,0.12,0.09,0.15,0.15
e_1,0.6,0.96,0.41,1.06,0.93,0.98,0.28,0.31,0.22,0.22,0.25,0.23,0.13,0.15,0.21,0.38
c_1,0.94,1.25,0.83,0.4,0.9,0.77,0.25,0.26,0.12,0.25,0.21,0.18,0.15,0.14,0.19,0.18
b_1,1.11,1.09,1.03,0.59,0.39,1.08,0.32,0.3,0.21,0.26,0.22,0.28,0.16,0.15,0.23,0.2
a_1,1.49,1.48,1.18,1.33,0.69,0.32,0.39,0.32,0.35,0.25,0.26,0.29,0.18,0.19,0.36,0.24
h_1,1.71,1.79,1.65,1.68,1.54,1.66,0.29,0.51,0.36,0.32,0.34,0.33,0.33,0.24,0.28,0.3
g_1,2.11,1.8,1.87,2.12,1.99,1.59,0.46,0.27,0.43,0.37,0.34,0.45,0.22,0.28,0.38,0.34
d_0,1.93,2.77,1.23,2.07,2.17,2.01,0.58,0.73,0.3,0.41,0.46,0.39,0.32,0.3,0.37,0.42
c_0,2.42,1.3,2.05,3.34,2.11,1.95,0.63,0.49,0.62,0.29,0.39,0.42,0.3,0.28,0.4,0.4
f_0,2.79,1.95,2.12,2.17,1.96,1.73,0.59,0.43,0.52,0.38,0.28,0.39,0.27,0.2,0.35,0.38
b_0,2.5,1.8,1.98,2.63,2.69,1.85,0.62,0.55,0.5,0.27,0.42,0.29,0.31,0.27,0.41,0.36
h_0,2.53,2.19,2.32,2.35,2.55,2.14,1.0,0.65,0.58,0.45,0.45,0.42,0.45,0.38,0.42,0.4
g_0,2.64,2.67,2.49,2.69,2.24,2.49,0.61,0.88,0.56,0.55,0.51,0.47,0.32,0.46,0.46,0.43
a_0,2.45,2.52,2.53,3.05,3.37,3.49,0.79,0.8,0.47,0.44,0.53,0.29,0.4,0.33,0.26,0.46
e_0,4.01,2.5,3.0,2.46,2.5,2.13,0.7,0.62,0.64,0.48,0.32,0.57,0.4,0.35,0.59,0.26
