,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,1.15,1.05,1.52,1.31,1.06,2.37,4.19,2.43,2.55,2.88,2.79,3.54,3.53,2.34,3.21
f_1,1.88,2.45,1.14,1.17,1.1,1.12,2.09,2.5,2.18,2.78,2.5,2.03,2.75,2.39,2.22,3.16
d_1,1.23,1.57,2.58,1.02,0.95,1.14,2.52,1.94,1.95,4.1,3.1,2.58,3.34,2.6,3.05,2.97
c_1,1.06,1.14,1.12,2.63,2.12,1.1,2.21,2.17,2.34,1.38,2.42,2.6,3.22,2.48,2.73,3.04
b_1,1.02,1.14,1.39,1.08,2.72,2.31,2.42,2.33,2.44,2.78,1.84,2.93,3.17,2.49,2.69,3.39
a_1,1.31,1.31,1.41,1.36,0.84,3.2,2.75,2.63,2.65,2.39,2.82,2.87,3.94,1.82,3.36,3.64
h_1,1.35,1.81,1.45,1.25,1.26,1.11,4.1,2.81,3.11,2.65,2.91,2.73,2.73,2.78,2.69,4.86
d_0,1.08,1.32,1.09,2.38,1.57,1.25,2.41,3.9,2.69,2.04,2.88,2.94,4.11,2.97,3.12,4.05
g_1,1.14,1.27,2.07,1.1,1.34,1.34,2.31,2.33,4.64,3.13,2.57,3.98,3.3,2.99,3.31,2.68
c_0,1.27,1.57,1.36,1.27,1.01,1.38,3.07,3.51,2.63,4.18,4.84,3.06,3.69,3.8,3.45,4.47
b_0,1.36,1.5,1.39,1.41,0.91,1.2,2.79,3.03,2.86,2.52,4.44,2.79,4.34,4.79,3.49,4.32
f_0,1.19,1.01,1.4,1.34,1.53,1.53,2.95,3.33,2.52,2.85,3.07,4.55,4.08,3.1,5.71,3.41
h_0,1.4,1.8,1.36,1.41,1.42,1.28,1.89,2.75,3.06,2.7,2.49,2.63,2.78,2.42,2.97,4.32
a_0,1.3,1.5,1.44,1.46,1.42,0.99,3.08,3.33,2.46,2.64,2.96,3.09,4.76,4.89,3.39,3.76
e_0,0.87,1.67,1.46,1.48,1.63,1.16,2.88,2.82,2.65,3.03,2.74,2.66,4.27,2.98,4.92,4.45
g_0,1.28,1.31,1.93,1.39,1.29,1.28,2.21,2.38,2.27,2.79,2.99,3.81,3.44,3.24,2.91,2.84
