,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.17,0.03,0.02,0.02,0.02,0.02,0.05,0.12,0.04,0.08,0.08,0.05,0.05,0.09,0.07,
f_1,0.05,2.18,0.03,0.03,0.03,0.02,0.07,0.06,0.04,0.07,0.04,,0.04,0.08,0.07,0.03
d_1,0.03,0.03,2.31,0.02,0.02,0.02,0.07,,0.05,0.11,0.05,0.06,0.05,0.06,0.06,0.05
c_1,0.04,0.03,0.03,2.4,0.05,0.02,0.05,0.07,0.06,,0.05,0.05,0.05,0.07,0.04,0.04
b_1,0.03,0.02,0.03,0.03,2.72,0.03,0.08,0.05,0.06,0.04,,0.06,,0.09,0.05,0.07
a_1,0.02,0.02,0.02,0.03,0.02,3.08,0.06,0.07,0.05,0.05,0.04,0.05,,0.13,0.12,
h_1,0.11,0.13,0.13,0.09,0.1,0.08,2.58,0.18,0.24,0.27,0.22,0.22,0.22,,0.25,0.24
d_0,0.12,0.14,,0.3,0.16,0.1,0.28,2.0,0.26,0.29,0.27,0.24,0.21,0.4,0.31,0.24
g_1,0.09,0.13,0.19,0.09,0.08,0.08,0.19,0.17,3.05,0.22,0.23,0.38,,0.19,,0.2
c_0,0.18,0.13,0.11,,0.14,0.12,0.22,0.39,0.21,2.04,0.41,0.37,0.17,0.48,0.46,0.19
b_0,0.16,0.19,0.15,0.12,,0.08,0.3,0.28,0.2,0.31,2.25,0.24,0.43,0.35,0.33,0.21
f_0,0.14,,0.16,0.15,0.12,0.14,0.28,0.29,0.14,0.27,0.23,2.24,0.38,0.39,0.41,0.44
a_0,0.13,0.13,0.11,0.14,,,0.34,0.44,,0.27,0.25,0.25,2.58,0.42,0.45,
h_0,0.19,0.35,0.2,0.18,0.08,0.23,,0.57,0.51,0.42,0.44,0.34,0.37,,0.71,0.38
g_0,0.21,0.19,0.35,0.2,0.22,0.1,0.47,0.36,,0.32,0.62,0.72,0.24,0.49,,0.26
e_0,,0.24,0.16,0.15,0.12,,0.24,0.43,0.19,0.35,0.22,0.28,,0.34,0.54,2.52
