,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,1.12,1.06,1.47,2.93,18.76,34.14,35.56,20.74,41.1,41.73,60.61,81.13,88.83,83.08
f_1,0.87,1.0,1.41,1.38,1.61,2.39,15.74,25.81,29.57,26.18,35.02,40.61,62.41,64.39,65.63,116.66
e_1,0.9,0.71,1.0,1.1,1.49,2.48,16.95,33.54,22.85,31.32,34.06,40.44,64.55,73.18,68.73,115.29
c_1,0.95,0.72,0.91,1.0,1.78,1.86,14.49,15.61,17.49,24.67,23.62,34.48,55.01,69.73,79.03,114.95
b_1,0.68,0.62,0.67,0.56,1.0,3.12,12.46,18.05,14.98,16.53,22.93,27.25,37.75,49.02,59.79,61.44
a_1,0.34,0.42,0.4,0.54,0.32,1.0,5.33,7.39,9.06,9.56,13.76,19.35,21.58,31.37,31.68,44.77
h_1,0.05,0.06,0.06,0.07,0.08,0.18,1.0,1.44,1.32,1.82,1.78,2.27,3.37,4.02,5.35,7.48
d_0,0.03,0.04,0.03,0.07,0.06,0.14,0.71,1.0,1.01,1.08,1.67,1.65,2.68,3.43,3.4,5.05
c_0,0.03,0.03,0.04,0.06,0.07,0.11,0.75,1.02,1.0,1.1,1.7,1.55,2.46,3.26,2.95,5.4
g_1,0.05,0.04,0.03,0.04,0.06,0.1,0.56,0.92,0.94,1.0,1.23,1.76,1.84,2.12,2.89,4.66
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.56,0.61,0.58,0.84,1.0,1.21,1.78,2.98,3.26,3.1
f_0,0.03,0.03,0.02,0.03,0.04,0.05,0.43,0.68,0.61,0.58,0.81,1.0,1.65,2.12,3.13,2.1
h_0,0.02,0.02,0.01,0.02,0.03,0.05,0.27,0.38,0.42,0.53,0.57,0.63,1.0,1.39,1.19,2.29
a_0,0.01,0.02,0.01,0.01,0.02,0.03,0.25,0.26,0.29,0.47,0.34,0.45,0.7,1.0,1.01,1.28
e_0,0.01,0.02,0.02,0.01,0.02,0.03,0.17,0.29,0.35,0.34,0.33,0.32,0.8,0.88,1.0,1.2
g_0,0.01,0.01,0.01,0.01,0.02,0.02,0.14,0.19,0.21,0.22,0.3,0.46,0.43,0.72,0.83,1.0
