,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.17,0.65,0.76,0.74,0.88,0.74,0.16,0.26,0.16,0.14,0.14,0.25,0.13,0.07,0.14,0.15
e_1,0.46,0.17,0.89,0.74,0.88,0.77,0.26,0.24,0.19,0.17,0.17,0.21,0.17,0.13,0.12,0.32
d_1,0.76,0.93,0.16,0.86,0.72,0.68,0.21,0.12,0.36,0.15,0.17,0.14,0.15,0.11,0.07,0.16
c_1,0.69,0.69,0.91,0.15,0.76,0.82,0.22,0.2,0.08,0.33,0.14,0.14,0.14,0.11,0.11,0.13
b_1,0.79,0.87,0.85,0.42,0.13,0.74,0.27,0.29,0.18,0.2,0.3,0.17,0.2,0.14,0.13,0.19
a_1,1.0,0.87,0.63,0.97,0.38,0.1,0.26,0.26,0.17,0.18,0.18,0.14,0.71,0.16,0.1,0.17
h_1,0.67,0.49,0.64,0.67,0.65,0.51,0.06,0.2,0.13,0.13,0.13,0.12,0.13,0.18,0.08,0.12
g_1,0.7,0.62,0.58,0.74,0.65,0.57,0.13,0.05,0.13,0.12,0.13,0.12,0.12,0.06,0.15,0.12
d_0,0.68,0.34,1.6,0.65,0.61,0.65,0.15,0.29,0.07,0.14,0.12,0.11,0.13,0.11,0.09,0.11
c_0,0.8,0.58,0.3,1.63,0.81,0.6,0.15,0.19,0.18,0.06,0.14,0.13,0.14,0.1,0.1,0.11
b_0,0.65,0.51,0.46,0.85,1.73,0.68,0.19,0.18,0.14,0.06,0.06,0.11,0.14,0.09,0.1,0.11
f_0,1.22,0.52,0.52,0.61,0.54,0.6,0.2,0.13,0.12,0.11,0.15,0.05,0.15,0.1,0.06,0.18
a_0,0.64,0.51,0.62,0.59,0.86,1.08,0.19,0.2,0.12,0.1,0.06,0.12,0.04,0.09,0.08,0.1
h_0,0.66,0.61,0.51,0.58,0.61,0.48,0.29,0.17,0.14,0.13,0.11,0.12,0.12,0.14,0.08,0.12
g_0,0.68,0.56,0.56,0.66,0.67,0.57,0.12,0.24,0.13,0.12,0.12,0.12,0.13,0.07,0.14,0.11
e_0,0.98,0.86,0.49,0.69,0.53,0.59,0.14,0.17,0.11,0.12,0.11,0.05,0.17,0.09,0.08,0.04
