,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.44,0.94,1.08,1.19,1.23,1.02,0.23,0.23,0.22,0.37,0.2,0.32,0.12,0.2,0.22,0.18
e_1,0.73,0.43,1.12,1.31,1.19,1.12,0.42,0.31,0.24,0.36,0.29,0.4,0.18,0.25,0.36,0.24
d_1,1.32,1.44,0.4,1.27,1.32,0.96,0.3,0.42,0.26,0.21,0.22,0.22,0.18,0.23,0.21,0.11
c_1,1.26,1.13,1.56,0.4,1.13,1.1,0.34,0.15,0.3,0.32,0.22,0.25,0.18,0.24,0.23,0.19
b_1,1.4,1.29,1.34,0.68,0.39,1.48,0.43,0.27,0.4,0.42,0.5,0.27,0.22,0.27,0.26,0.23
a_1,2.12,1.56,1.63,1.4,0.83,0.32,0.51,0.35,0.4,0.53,0.4,0.33,0.21,0.59,0.29,0.21
h_1,2.25,2.01,2.1,2.24,2.01,1.78,0.3,0.43,0.46,0.65,0.45,0.38,0.43,0.37,0.39,0.3
d_0,2.29,1.38,3.3,2.81,2.55,2.34,0.77,0.34,0.64,0.71,0.47,0.6,0.38,0.53,0.59,0.45
c_0,2.68,2.74,1.24,3.45,2.68,2.32,0.71,0.71,0.32,0.76,0.54,0.44,0.39,0.48,0.43,0.32
g_1,2.52,2.44,2.41,3.07,2.53,2.06,0.51,0.5,0.5,0.28,0.58,0.49,0.27,0.47,0.42,0.45
b_0,2.78,2.29,2.12,3.5,3.65,2.67,0.69,0.57,0.3,0.65,0.31,0.44,0.36,0.45,0.4,0.31
f_0,3.9,2.79,2.41,2.67,2.59,2.61,0.79,0.62,0.66,0.48,0.66,0.28,0.41,0.6,0.57,0.26
h_0,2.91,2.63,2.72,3.11,2.8,2.76,1.22,0.59,0.6,0.78,0.62,0.62,0.57,0.58,0.5,0.45
a_0,3.27,3.19,2.36,3.14,4.44,3.96,0.76,0.62,0.5,0.95,0.34,0.54,0.6,0.29,0.47,0.42
e_0,4.11,3.82,3.03,3.0,3.32,2.8,0.82,0.67,0.64,0.91,0.75,0.31,0.55,0.66,0.3,0.37
g_0,3.89,3.38,2.69,3.5,3.13,3.13,0.74,0.8,0.69,1.21,0.73,0.59,0.36,0.73,0.58,0.51
