,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.05,1.12,1.43,1.93,1.6,1.25,0.59,0.64,0.58,0.45,0.58,0.45,0.35,0.5,0.37,0.43
f_1,1.76,1.04,1.44,1.59,1.47,1.14,0.48,0.62,0.5,0.45,0.53,0.43,0.29,0.38,0.36,0.38
d_1,1.86,1.74,1.04,1.53,1.48,1.31,0.55,0.42,0.61,0.48,0.42,0.47,0.35,0.42,0.27,0.39
c_1,1.32,1.65,1.97,1.05,1.65,1.49,0.59,0.54,0.31,0.47,0.45,0.42,0.37,0.4,0.35,0.4
b_1,1.7,1.75,1.9,1.25,1.05,1.73,0.73,0.69,0.5,0.65,0.5,0.59,0.45,0.49,0.43,0.44
a_1,2.52,2.8,2.59,2.09,1.5,1.06,0.96,0.91,0.74,0.8,0.7,0.79,0.57,0.58,0.55,0.68
h_1,4.2,4.78,4.16,4.74,4.13,3.34,1.24,1.69,1.35,1.28,1.25,1.3,1.05,1.01,0.98,1.0
g_1,4.56,5.28,5.08,5.05,4.54,3.95,1.52,1.27,1.31,1.27,1.6,1.37,0.93,1.19,1.13,1.06
d_0,3.74,5.18,5.81,6.38,5.46,4.19,2.18,2.19,1.36,1.36,1.71,1.53,1.21,1.49,1.26,1.35
c_0,5.89,5.49,4.15,6.97,5.45,4.31,2.02,1.91,2.08,1.35,1.75,1.83,1.45,1.55,1.13,1.54
f_0,4.97,6.23,5.72,5.83,5.97,4.7,2.02,1.48,1.56,1.53,1.36,1.51,1.3,1.71,0.91,1.38
b_0,5.61,6.0,5.06,7.5,6.7,4.57,2.16,2.04,2.01,1.16,1.85,1.37,1.4,1.49,1.31,1.65
h_0,6.92,7.68,7.03,7.15,6.38,5.7,2.78,2.62,2.11,1.85,2.24,1.84,1.8,1.81,1.69,1.61
e_0,7.74,9.96,6.86,7.84,6.94,6.23,3.16,2.39,2.45,2.15,1.36,2.03,1.91,1.39,1.5,1.58
g_0,7.79,9.13,7.97,8.81,7.7,6.12,2.49,2.87,2.37,2.36,2.42,2.32,1.6,2.12,1.76,1.94
a_0,7.49,8.2,7.63,8.12,9.39,7.94,3.15,2.86,2.28,1.95,2.12,1.53,1.74,2.19,1.81,1.46
