,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,1.74,1.07,1.05,0.94,0.97,1.96,1.93,2.4,2.31,2.48,1.62,2.78,2.58,2.07,3.04
e_1,1.05,2.4,0.96,1.4,1.22,1.01,2.08,2.03,4.23,2.65,2.76,3.1,3.32,2.58,1.92,3.37
d_1,1.2,1.09,2.54,0.99,1.11,1.03,2.53,2.03,1.64,3.77,2.72,2.67,3.27,2.83,2.73,2.78
c_1,1.15,0.93,1.26,2.65,1.88,0.88,2.35,2.18,1.9,1.04,2.17,2.47,3.09,2.51,2.51,2.66
b_1,1.18,1.09,1.13,0.98,2.76,2.14,1.95,2.29,2.07,2.39,1.48,2.27,2.73,1.62,2.59,2.69
a_1,1.18,1.25,1.27,1.27,0.89,3.32,2.33,1.75,2.57,2.86,2.52,2.08,3.47,1.26,3.02,3.69
h_1,1.74,1.0,1.24,1.12,1.27,1.16,3.87,3.14,2.15,2.57,2.95,2.3,2.11,2.61,2.58,4.38
g_1,1.13,1.22,1.78,1.24,1.05,1.41,1.98,4.36,2.01,2.45,2.29,3.57,2.81,2.27,3.16,2.5
d_0,1.27,1.08,0.9,2.29,1.25,1.11,2.53,2.47,3.93,1.99,2.89,2.56,3.34,2.9,2.37,3.66
c_0,1.37,1.16,1.21,1.07,1.09,1.23,2.73,2.52,3.35,3.97,4.8,3.34,3.37,3.37,2.95,3.86
b_0,1.47,1.19,1.39,1.33,0.64,1.07,2.43,2.91,2.61,2.53,4.17,2.95,3.42,4.86,2.53,3.41
f_0,0.88,0.99,1.38,1.46,1.26,1.49,2.98,2.59,3.06,2.77,3.03,4.47,3.67,3.24,5.01,3.24
h_0,1.6,1.09,1.3,1.45,1.19,1.12,1.97,3.37,2.61,2.67,2.64,2.58,2.74,2.8,2.84,3.98
a_0,1.37,1.22,1.3,1.35,1.43,0.91,2.3,3.12,2.64,2.42,2.31,2.6,3.68,4.93,2.52,3.01
e_0,1.59,0.89,1.18,1.35,1.06,1.34,2.61,2.95,2.99,3.21,3.34,2.8,3.94,2.65,5.02,3.66
g_0,1.1,0.95,1.87,1.41,1.27,1.03,2.01,2.5,2.37,2.55,2.82,3.81,3.39,2.73,2.55,2.94
