,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.07,10.46,8.66,6.54,7.69,7.36,2.58,3.07,3.45,3.41,1.93,,1.45,,1.92,2.28
e_1,5.47,1.07,10.04,8.06,9.58,9.95,3.24,2.8,2.26,3.74,2.44,2.7,2.42,,2.33,2.01
c_1,9.99,10.02,1.07,12.89,10.39,11.57,4.32,1.73,,3.29,3.1,2.04,2.49,2.43,2.49,2.12
d_1,12.43,10.6,9.43,1.07,9.27,9.33,3.29,,3.4,2.27,3.19,2.78,3.19,1.97,2.44,1.23
b_1,10.57,13.59,6.6,10.54,1.07,10.86,4.43,3.67,3.19,3.62,,2.96,2.46,2.57,,1.97
a_1,16.47,11.56,13.55,17.48,7.27,1.07,5.89,4.86,4.22,5.14,,5.03,2.87,,,2.9
h_1,13.11,15.17,13.58,17.27,11.64,10.66,1.41,4.78,2.96,8.13,3.69,3.78,,4.67,4.65,3.09
d_0,12.7,10.13,15.28,,13.78,10.5,4.76,1.72,4.17,4.83,5.09,3.38,2.73,2.59,2.91,3.31
c_0,14.28,18.54,,9.83,15.52,11.91,7.17,4.46,1.73,4.3,4.5,5.16,2.63,3.62,4.71,2.88
g_1,16.78,20.32,15.9,19.55,22.49,12.6,4.23,5.93,5.01,1.41,5.43,6.59,2.95,,,
b_0,24.95,16.07,19.05,16.14,,,5.88,4.32,3.68,5.81,1.7,4.72,3.08,,4.19,4.01
f_0,,16.75,18.24,16.48,17.26,14.14,5.7,6.15,4.72,4.02,5.09,1.75,5.67,5.32,,2.37
h_0,19.78,15.3,14.0,12.62,14.43,15.82,,4.8,5.17,5.78,4.31,4.42,,4.25,3.57,3.8
e_0,,,20.68,24.84,19.23,,8.08,6.25,8.65,,,3.07,6.02,1.79,,5.35
a_0,28.56,23.06,23.45,22.3,,,8.09,8.94,6.62,,4.41,,4.87,,1.73,
g_0,20.6,19.29,23.04,24.67,28.94,17.68,6.24,6.73,5.6,,5.22,6.72,3.68,4.42,,
