,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,11705.88,2954.61,3764.1,3642.37,8280.29,34571.2,4014867.84,9176864.12,22990646.57,7648082.76,26405865.0,45904262.53,110041784.38,252691586.61,160626913.93,172260344.63
e_1,2461.62,11988.56,3726.84,5826.52,8099.88,39909.64,4123931.52,8727389.03,13146659.27,23571940.99,22377948.65,44112981.36,90264246.07,211085002.09,147600033.5,95850846.79
f_1,2958.31,5477.23,14525.46,4835.52,6457.27,33469.79,4065873.03,7281845.44,9361346.07,12074508.28,18839140.49,21067342.87,84154776.11,166910109.42,131989404.46,142902220.24
c_1,2685.11,2547.14,3659.36,21074.72,15606.8,32217.62,3963077.88,8673734.61,4757680.42,12021282.96,10144732.65,31075593.1,100534245.95,213079870.99,150358351.41,211389949.21
b_1,3051.77,2994.12,3880.85,4671.71,40283.32,75719.27,3205974.75,8055082.6,9262574.8,11484312.75,9515692.47,36932056.62,95827046.47,205817882.87,92103755.58,173655646.12
a_1,3357.38,3268.64,3639.89,4924.23,7894.23,264656.99,3658119.59,8384625.98,12791898.9,11957463.41,19522558.25,45557466.21,103051560.64,174829572.42,95010100.2,170966887.14
h_1,4073.74,2672.1,5750.59,5025.53,10521.4,41946.76,11910259.56,16008854.38,15779498.11,14407149.5,21425568.43,47698810.43,71955351.86,334094607.33,197877360.6,259523692.21
g_1,6530.95,2836.54,4332.68,5042.66,9311.14,43336.71,4085936.35,31957647.85,12135904.08,9405070.38,20897324.63,64077920.95,100415721.17,159459939.68,206315379.99,246966856.3
c_0,4243.35,3865.68,5233.05,3882.91,6917.0,39452.62,5099626.67,12026433.22,27647346.92,15844869.2,48999281.28,53562395.68,134920269.87,274957191.11,243976553.61,228337685.12
d_0,2144.09,3372.71,5013.51,11826.3,9316.9,38672.86,5364498.55,9974172.59,10097357.23,28975515.43,20532836.41,50106268.1,119854858.63,285087943.87,189900043.1,234338208.19
b_0,4069.8,3850.58,5223.84,6552.41,5547.3,28569.14,5218669.16,10957181.67,14679098.8,18821933.14,49759756.7,43902035.03,138586581.55,258869270.35,459743318.21,223373822.4
f_0,4662.37,3593.64,3043.43,7146.81,9213.45,39866.2,5155906.88,11281133.13,14706198.67,16517242.78,25405962.92,108546490.37,136738760.46,262344261.24,184153502.67,456218694.87
h_0,3915.91,3726.44,6783.54,6479.77,8519.62,33022.32,3122588.87,14518998.22,13288983.91,15378349.12,24196630.3,39468496.18,74532191.27,369798965.41,160390964.4,252275036.78
g_0,5375.3,3528.71,4305.92,5470.29,8338.87,47686.84,4420708.98,7187425.54,15823615.24,14888250.32,21841022.66,85405208.11,109574986.12,172684848.73,195046075.82,247258114.77
a_0,3965.22,3296.09,4936.17,7551.85,11084.27,15185.19,4400603.33,12604618.03,12731022.9,13731413.59,22635827.1,53380719.55,151416624.21,293847629.3,544653803.48,235478437.36
e_0,4618.76,1987.98,5327.33,5808.97,10342.06,43019.81,5352893.36,11477897.08,14662388.16,14861860.2,26740438.11,51108935.44,139123738.84,260501871.19,196812481.48,648693164.47
