,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,116.14,68.38,100.37,68.88,134.7,308.0,10144.37,32594.78,21660.23,21182.81,38902.08,47218.79,122355.76,149345.25,140502.27,185039.15
f_1,100.01,128.16,71.06,81.57,111.45,262.44,8003.61,18125.99,19473.51,19464.0,33550.15,26927.94,108686.98,139851.15,93462.52,173431.18
c_1,55.71,75.78,130.54,76.74,211.92,278.39,8428.84,15618.59,13280.52,16003.29,23502.65,37816.13,113309.42,126654.54,122627.85,173340.83
d_1,72.06,73.57,66.69,132.4,142.12,267.86,8938.67,14411.05,29242.12,16800.06,39365.68,39756.2,118559.75,110102.06,133020.79,150793.79
b_1,52.64,72.07,53.07,64.48,201.39,432.05,8012.82,14827.32,20289.24,15756.23,22932.3,31502.78,101069.54,84517.97,105304.21,141702.53
a_1,42.78,53.23,49.67,54.04,58.06,397.53,6858.87,13187.88,11779.71,12777.65,22668.97,27925.68,82829.6,67408.56,98051.36,112569.38
h_1,16.42,25.04,21.53,20.8,30.82,63.46,3386.37,4703.21,4889.02,6385.7,8521.61,9793.78,28581.11,33591.94,36089.93,54050.85
d_0,11.81,15.95,25.91,13.68,28.94,58.51,1861.42,5164.1,3443.81,3925.27,6991.52,8630.02,28242.29,26381.04,29534.14,39911.28
c_0,13.63,18.72,16.22,15.79,18.73,65.91,1975.18,4513.28,5381.78,3926.71,11819.36,7461.09,29240.44,34964.38,30144.5,38254.62
g_1,12.46,13.39,16.58,23.43,23.81,58.18,1631.21,3591.6,4109.78,5942.19,7080.06,11041.2,22516.63,23003.06,28008.91,31239.63
b_0,11.06,13.78,17.49,13.57,18.89,40.86,1692.76,3524.88,2995.12,3407.37,8436.4,6565.18,23073.84,41511.63,23719.44,33405.6
f_0,9.43,12.45,14.3,13.94,24.37,48.72,1672.1,3327.42,3418.48,2954.07,6171.69,9074.6,23046.87,23214.02,38847.1,26121.66
h_0,7.29,11.73,10.17,10.32,16.0,31.59,962.06,2225.97,2225.5,2713.82,4275.4,4386.94,13666.82,16780.08,16209.51,27249.44
a_0,7.03,9.44,8.82,10.39,16.18,28.65,1119.57,2139.01,2099.96,2410.71,3166.27,4322.03,16716.61,22004.26,15676.2,20254.67
e_0,5.83,10.56,9.06,9.63,14.55,32.64,1185.22,2058.44,2264.81,2263.03,4373.65,3832.28,14013.55,17112.44,22365.96,20458.17
g_0,6.2,7.68,8.29,11.51,15.42,29.84,981.21,1775.46,2193.27,2097.28,3561.11,6030.08,11909.17,16896.21,17334.36,18061.34
