,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.73,1.28,0.77,0.77,0.74,0.63,0.91,0.96,0.93,0.9,0.92,0.67,1.01,0.97,0.93,0.67
e_1,0.83,1.76,0.72,0.98,0.84,0.73,0.92,1.6,0.91,0.93,1.02,1.07,1.0,0.94,1.09,0.72
d_1,0.91,0.83,1.93,0.7,0.7,0.69,0.94,0.73,1.04,1.65,1.17,0.99,1.0,1.02,0.98,1.12
c_1,0.78,0.71,0.83,1.93,1.33,0.78,0.86,0.82,0.92,0.63,0.67,1.05,0.95,0.98,0.95,1.05
b_1,0.86,0.72,0.77,0.82,2.05,1.57,1.05,0.97,0.88,0.87,0.78,1.03,0.89,0.69,0.95,1.04
a_1,0.84,0.81,0.89,0.87,0.67,3.0,1.2,0.92,1.02,0.87,0.97,0.86,1.11,0.89,0.9,0.98
h_1,1.04,0.89,1.05,0.89,0.81,0.65,1.69,0.73,1.25,0.92,1.06,0.96,0.8,0.9,1.22,1.03
d_0,0.88,0.74,0.56,1.51,1.01,0.86,1.09,1.43,0.82,0.66,0.94,1.01,0.88,0.88,1.12,1.2
g_1,0.86,0.79,1.33,0.71,0.74,0.77,0.97,0.83,2.13,1.15,1.17,1.59,1.18,1.19,0.87,1.12
c_0,0.98,0.93,0.97,0.79,0.63,0.82,1.0,0.95,1.03,1.53,1.99,1.11,1.17,1.49,1.03,1.21
b_0,0.96,0.88,1.1,0.88,0.68,0.57,1.09,0.92,0.98,1.09,1.67,1.0,1.11,1.98,1.13,1.15
f_0,0.75,0.64,1.04,0.95,0.95,0.83,1.12,1.02,1.08,1.09,1.26,1.74,1.29,1.3,1.06,2.24
h_0,1.13,0.87,1.05,0.81,0.78,0.76,0.82,0.84,1.34,0.95,1.05,0.91,0.79,1.11,1.22,1.01
a_0,0.9,0.86,1.06,1.0,0.84,0.63,1.13,0.96,1.14,0.96,1.17,1.11,1.09,1.83,1.17,1.0
g_0,0.79,0.71,1.24,1.0,0.91,0.77,1.08,0.82,0.84,1.04,1.17,1.44,0.97,1.12,0.89,1.17
e_0,0.94,0.56,0.95,0.94,1.0,0.9,1.07,1.0,1.04,1.01,1.14,1.14,1.35,1.07,1.18,2.07
