,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.06,1.55,2.12,2.04,2.58,2.11,0.84,0.9,0.87,0.64,0.62,0.58,0.58,0.54,1.25,0.52
f_1,2.49,1.06,2.35,2.13,2.19,1.6,0.63,0.9,0.61,0.57,0.96,0.61,0.56,0.35,0.46,0.45
c_1,2.25,2.32,1.06,2.75,2.52,1.82,0.94,0.83,0.44,0.81,0.68,0.62,0.7,0.6,0.61,0.45
d_1,2.78,2.55,2.6,1.06,2.2,2.1,1.0,0.61,1.23,0.76,0.75,0.67,0.7,0.5,0.54,0.37
b_1,2.28,2.76,1.73,2.81,1.06,2.46,1.1,1.04,0.85,0.85,0.73,1.59,0.67,0.65,0.62,0.73
a_1,3.8,4.54,4.08,3.56,2.28,1.07,1.59,1.42,1.22,1.21,0.99,1.37,1.4,1.02,1.06,0.81
h_1,5.87,6.51,5.32,5.89,5.67,4.19,1.33,2.36,1.75,1.5,1.44,1.6,1.45,1.78,1.34,1.26
g_1,6.88,7.13,7.22,6.83,6.97,6.0,2.04,1.35,2.22,1.74,2.11,1.58,1.56,1.38,1.72,1.97
d_0,4.19,7.7,8.41,10.44,6.11,5.39,2.71,3.09,1.55,1.82,1.94,2.25,1.99,1.41,1.83,1.95
c_0,9.91,10.39,10.98,4.96,7.86,6.22,3.72,2.9,3.22,1.57,2.22,2.54,2.08,1.86,1.84,2.1
f_0,7.53,12.73,9.44,8.01,7.69,6.82,3.63,2.18,2.66,2.16,1.55,2.54,2.0,2.11,2.73,1.28
b_0,9.45,8.76,9.76,7.53,9.11,6.7,3.16,3.18,2.84,1.36,2.22,1.51,2.64,1.9,2.08,1.81
a_0,11.24,10.01,10.69,7.94,11.85,13.21,4.08,3.97,3.38,2.5,2.46,1.78,1.58,1.89,2.93,1.94
h_0,9.93,11.41,9.75,9.25,10.26,8.52,4.88,4.11,3.58,2.98,2.66,2.96,2.81,3.06,2.58,2.36
e_0,13.42,17.47,10.24,10.86,10.28,8.58,4.34,3.76,4.04,3.23,1.81,3.35,2.65,3.02,1.64,2.05
g_0,11.82,12.82,13.03,12.45,9.4,10.86,3.77,6.45,3.54,3.27,4.07,3.61,3.4,2.18,3.52,3.09
