,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.03,1.06,1.18,1.28,0.96,0.26,0.26,0.37,0.24,0.24,0.32,0.12,0.24,0.19,0.18
d_1,1.34,0.42,1.29,1.19,1.04,1.06,0.35,0.37,0.22,0.28,0.24,0.24,0.17,0.23,0.24,0.12
e_1,0.69,1.26,0.42,1.39,1.28,1.18,0.35,0.3,0.4,0.23,0.27,0.36,0.19,0.25,0.43,0.22
c_1,1.27,1.71,0.94,0.4,1.37,1.39,0.31,0.14,0.32,0.36,0.23,0.24,0.18,0.23,0.24,0.17
b_1,1.44,1.32,1.46,0.77,0.38,1.06,0.49,0.31,0.41,0.38,0.46,0.26,0.21,0.29,0.29,0.21
a_1,2.18,1.58,1.68,1.45,0.78,0.33,0.47,0.36,0.53,0.31,0.37,0.29,0.28,0.44,0.3,0.2
h_1,2.1,2.03,2.16,2.51,2.12,1.79,0.3,0.48,0.57,0.42,0.42,0.4,0.43,0.36,0.38,0.33
d_0,2.31,3.66,1.39,2.6,2.85,2.41,0.77,0.35,0.74,0.46,0.48,0.5,0.35,0.43,0.48,0.34
g_1,2.57,2.11,2.42,2.58,2.49,2.18,0.5,0.57,0.28,0.55,0.51,0.45,0.26,0.51,0.41,0.51
c_0,2.78,1.39,2.54,4.19,2.67,2.25,0.82,0.82,0.72,0.32,0.58,0.46,0.38,0.47,0.47,0.34
b_0,2.53,2.26,2.24,3.17,5.06,2.33,0.71,0.48,0.66,0.28,0.31,0.48,0.37,0.48,0.53,0.36
f_0,4.18,2.57,2.61,2.94,2.61,2.51,0.71,0.53,0.57,0.53,0.56,0.31,0.44,0.48,0.55,0.24
h_0,2.9,2.78,2.86,2.95,2.93,2.69,1.12,0.63,0.89,0.57,0.54,0.58,0.53,0.46,0.44,0.48
a_0,3.55,2.79,2.91,3.04,4.82,4.39,0.97,0.69,0.76,0.57,0.32,0.56,0.47,0.29,0.5,0.39
e_0,5.39,2.85,3.59,3.47,3.56,2.82,0.88,0.65,0.77,0.6,0.54,0.32,0.43,0.68,0.27,0.34
g_0,4.04,3.29,3.24,3.14,3.19,3.5,0.72,0.7,1.04,0.62,0.65,0.61,0.36,0.56,0.63,0.67
