,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.04,1.09,1.54,1.65,1.47,1.27,0.6,0.55,0.55,0.42,0.43,0.5,0.35,0.36,0.37,0.44
f_1,1.63,1.04,1.44,1.53,1.39,1.12,0.5,0.56,0.45,0.43,0.43,0.47,0.26,0.33,0.36,0.33
d_1,1.78,1.77,1.04,1.46,1.52,1.29,0.62,0.44,0.58,0.53,0.45,0.44,0.37,0.25,0.42,0.38
c_1,1.43,1.63,1.97,1.05,1.73,1.33,0.6,0.63,0.36,0.53,0.42,0.45,0.41,0.35,0.36,0.37
b_1,1.76,2.02,1.84,1.25,1.05,1.71,0.72,0.67,0.54,0.62,0.55,0.51,0.44,0.41,0.41,0.47
a_1,2.58,2.99,2.44,2.18,1.56,1.06,0.99,0.9,0.82,0.71,0.73,0.61,0.59,0.6,0.69,0.58
h_1,4.09,4.41,4.03,4.26,3.94,3.13,1.22,1.6,1.25,1.13,1.11,1.21,1.01,0.96,1.06,0.95
g_1,5.1,5.21,5.03,4.86,4.96,4.09,1.66,1.25,1.52,1.51,1.44,1.48,0.99,1.15,1.4,1.29
d_0,3.68,4.77,6.08,5.61,4.97,4.21,2.13,2.15,1.34,1.44,1.6,1.52,1.23,1.21,1.24,1.37
c_0,5.92,6.07,3.84,6.53,4.56,4.9,2.33,1.89,2.08,1.35,2.01,1.47,1.33,1.19,1.43,1.38
b_0,6.53,6.28,4.98,7.9,7.02,4.98,2.39,2.16,1.94,1.2,1.4,1.69,1.47,1.31,1.68,1.49
f_0,5.85,7.06,5.6,6.55,6.14,5.38,2.16,1.64,2.05,1.77,1.84,1.34,1.47,1.1,1.67,1.69
h_0,7.52,8.2,6.82,6.46,6.2,5.32,3.16,2.66,2.08,2.06,1.81,1.88,1.77,1.56,1.58,1.69
g_0,8.56,8.88,8.77,7.93,7.68,6.39,2.56,3.05,2.52,2.25,2.08,2.25,1.71,1.8,2.19,1.85
a_0,8.89,8.56,7.61,8.31,9.7,7.74,3.14,2.66,2.68,2.23,1.52,2.03,2.05,1.76,1.47,1.94
e_0,9.25,9.87,8.02,9.22,7.77,6.41,3.12,2.6,2.52,2.45,2.41,1.66,2.04,1.7,2.25,1.5
