,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.44,35.68,18.31,49.21,30.53,36.42,9.59,9.28,7.06,5.23,7.48,8.57,5.56,6.5,,5.21
d_1,47.34,0.44,35.98,35.64,48.91,33.25,10.44,4.97,5.72,,5.96,5.45,6.74,6.2,7.44,2.64
f_1,33.73,39.54,0.43,29.18,37.22,37.71,7.9,10.24,6.98,6.43,,6.29,2.85,7.04,6.16,6.08
c_1,34.82,41.45,45.37,0.41,48.36,31.45,6.87,16.91,,3.15,7.59,6.88,5.05,8.28,9.39,4.72
b_1,45.41,41.94,38.64,17.0,0.41,35.15,10.31,8.55,8.76,6.72,7.14,,4.34,10.59,,5.67
a_1,39.72,34.14,59.35,41.65,21.38,0.34,12.4,14.92,10.09,10.37,,12.75,9.29,,5.27,6.56
h_1,18.56,19.5,16.74,16.47,15.33,22.35,0.38,4.36,3.1,3.02,3.63,3.96,,3.0,3.0,2.72
g_1,20.64,20.48,18.87,35.41,22.09,18.02,4.72,0.34,3.83,7.21,3.04,3.69,1.67,5.17,3.36,
c_0,15.5,7.69,16.48,,21.16,19.18,4.02,4.46,0.47,5.76,2.91,2.83,1.72,3.79,3.79,2.78
d_0,8.57,,13.82,14.77,16.01,13.63,4.92,5.2,3.5,0.48,3.87,4.41,2.0,3.53,2.35,2.4
f_0,14.27,15.87,,14.19,17.23,,4.59,3.05,3.5,3.29,0.45,4.34,2.94,,3.71,1.68
b_0,17.07,18.82,17.87,34.97,,16.23,4.17,3.7,1.98,3.56,4.24,0.45,3.52,4.11,3.6,1.58
h_0,13.38,11.28,12.7,12.24,8.98,18.26,,6.14,4.22,2.42,2.39,1.93,,1.89,2.22,1.93
a_0,23.48,26.03,18.95,19.79,21.03,,6.25,6.94,3.6,4.74,,1.65,2.61,0.38,,2.84
e_0,,17.7,27.24,23.28,,14.92,8.65,6.02,3.94,5.38,1.63,6.01,2.61,,0.37,2.84
g_0,21.22,17.54,15.36,12.99,13.34,11.61,2.33,,3.15,3.84,3.03,3.49,1.38,2.07,2.98,
