,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,2.35,0.73,0.54,0.81,0.62,0.55,0.98,1.62,0.92,0.85,1.11,0.97,1.14,1.11,0.97,0.56
f_1,1.13,2.4,0.65,0.58,0.6,0.59,0.85,0.83,0.8,0.71,0.93,0.45,0.8,0.9,0.76,0.53
d_1,0.63,0.67,2.84,0.51,0.51,0.62,0.94,0.41,1.81,1.13,1.06,1.18,1.1,0.92,1.12,1.05
c_1,0.62,0.66,0.65,2.99,1.15,0.49,0.88,0.88,0.32,0.8,0.61,0.95,0.78,1.0,0.93,1.06
b_1,0.6,0.74,0.65,0.59,3.33,1.29,0.83,0.91,0.94,0.79,0.44,0.76,0.94,0.64,0.86,1.0
a_1,0.6,0.73,0.67,0.74,0.59,4.52,0.97,0.91,0.78,0.96,0.84,0.87,0.94,0.44,1.06,1.11
h_1,0.76,1.07,0.78,0.8,0.77,0.75,2.5,1.09,0.97,1.52,1.17,1.18,0.89,0.95,1.56,1.19
d_0,0.8,0.76,0.53,1.58,0.85,0.72,1.04,1.88,0.81,0.99,1.11,1.22,1.17,1.03,1.17,1.15
c_0,0.85,0.86,0.87,0.56,0.58,0.84,1.25,1.11,2.1,1.06,2.41,1.46,1.33,1.44,1.28,1.11
g_1,0.8,0.6,1.27,0.82,0.63,0.58,1.08,1.02,1.28,3.73,1.21,2.07,1.08,1.11,0.57,1.33
b_0,0.75,0.92,1.06,0.84,0.49,0.59,1.16,0.98,1.04,1.24,2.47,1.24,1.32,2.48,1.29,1.31
f_0,0.5,0.47,1.0,0.94,1.05,0.92,1.13,1.09,1.27,1.29,1.22,2.59,1.35,1.25,1.26,3.02
h_0,0.7,1.16,0.89,0.85,0.68,0.76,0.67,1.07,1.11,1.43,1.39,0.91,0.72,0.98,1.56,1.22
a_0,0.85,0.76,0.96,0.86,0.94,0.41,1.21,1.18,1.09,1.07,1.26,1.12,1.31,3.28,1.0,1.04
g_0,0.48,0.63,1.45,0.82,0.96,0.77,0.95,0.9,1.12,0.7,1.25,2.02,1.19,1.15,0.91,1.71
e_0,0.4,0.96,0.73,0.94,0.96,1.08,1.13,1.21,1.06,1.04,1.05,1.36,1.32,1.14,1.1,3.55
