,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.28,1.36,1.69,1.94,3.74,21.4,37.29,34.39,36.25,43.51,63.42,71.92,88.96,100.79,159.03
e_1,0.79,1.0,1.27,1.77,1.98,3.86,23.76,32.22,31.35,48.33,43.73,66.52,84.81,103.81,139.36,156.45
d_1,0.74,0.78,1.0,1.03,1.32,2.72,17.89,21.54,32.37,27.99,33.67,45.36,60.63,74.03,84.05,86.53
c_1,0.6,0.55,0.96,1.0,1.52,2.9,14.79,23.97,22.14,16.77,25.66,42.13,57.4,59.72,85.16,87.08
b_1,0.51,0.49,0.77,0.67,1.0,3.14,13.53,19.08,21.74,18.01,26.65,35.79,46.92,44.02,74.01,77.29
a_1,0.26,0.26,0.36,0.35,0.33,1.0,6.71,9.33,9.85,9.32,12.77,15.03,21.62,27.16,37.8,41.31
h_1,0.05,0.04,0.06,0.07,0.07,0.15,1.0,1.76,1.48,1.44,1.84,2.55,4.21,4.27,5.4,7.0
g_1,0.03,0.03,0.05,0.04,0.05,0.11,0.58,1.0,1.17,0.96,1.39,2.34,2.3,3.19,3.85,4.43
c_0,0.03,0.03,0.03,0.04,0.05,0.1,0.67,0.87,1.0,1.2,1.7,1.88,2.64,3.16,4.09,4.05
d_0,0.03,0.02,0.04,0.06,0.06,0.1,0.69,1.14,0.84,1.0,1.3,1.63,2.64,2.74,3.38,3.96
b_0,0.02,0.02,0.03,0.04,0.04,0.07,0.55,0.7,0.58,0.77,1.0,1.33,1.95,2.99,2.81,3.21
f_0,0.02,0.02,0.02,0.02,0.03,0.06,0.37,0.44,0.53,0.67,0.77,1.0,1.44,1.77,2.87,2.09
h_0,0.01,0.01,0.02,0.02,0.02,0.05,0.23,0.44,0.38,0.39,0.52,0.7,1.0,1.11,1.52,1.85
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.24,0.3,0.32,0.36,0.35,0.64,0.89,1.0,1.09,1.33
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.28,0.27,0.3,0.36,0.36,0.68,1.05,1.0,1.0
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,0.25,0.25,0.31,0.5,0.56,0.69,1.05,1.0
