,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.29,0.46,0.56,0.38,0.39,0.3,1.03,0.82,2.02,0.4,1.3,1.07,1.22,1.05,0.94,1.35
e_1,0.38,2.31,0.53,0.55,0.46,0.4,0.85,0.74,0.99,1.92,0.98,1.07,1.35,1.05,0.3,1.13
f_1,0.47,0.87,2.33,0.47,0.4,0.27,0.68,0.66,0.96,0.85,1.02,0.4,1.29,0.66,0.59,0.74
c_1,0.54,0.46,0.47,2.51,0.77,0.34,0.92,0.69,0.32,0.95,0.62,0.92,1.14,0.58,0.56,1.19
b_1,0.54,0.42,0.49,0.42,2.64,0.74,0.98,0.74,0.89,0.82,0.42,0.89,0.89,0.54,1.03,1.14
a_1,0.57,0.53,0.54,0.44,0.31,3.09,0.87,0.92,0.94,1.19,0.94,1.17,1.59,0.47,1.01,1.25
h_1,0.58,0.48,0.81,0.58,0.54,0.47,2.98,1.29,1.15,1.21,1.17,1.13,0.82,0.85,1.18,1.93
g_1,1.03,0.46,0.32,0.66,0.5,0.42,0.96,3.26,1.21,0.85,1.07,1.75,1.43,1.09,1.29,0.86
c_0,0.74,0.65,0.6,0.32,0.47,0.45,0.95,1.08,2.48,1.32,2.32,1.26,1.8,1.33,1.1,1.43
d_0,0.23,0.64,0.63,1.14,0.46,0.4,1.1,1.12,0.92,2.53,0.97,1.19,1.46,1.0,1.17,1.44
b_0,0.75,0.66,0.68,0.46,0.22,0.36,1.19,1.01,1.43,1.23,2.74,1.07,1.73,2.47,0.96,1.67
f_0,0.73,0.45,0.32,0.58,0.53,0.59,1.33,1.3,1.44,1.23,1.21,2.77,1.85,1.02,2.46,1.32
h_0,0.76,0.58,0.92,0.61,0.55,0.34,0.57,1.27,1.33,1.15,0.86,0.93,0.68,1.23,0.72,1.77
a_0,0.69,0.63,0.62,0.63,0.46,0.2,1.31,1.1,1.47,1.37,1.26,1.29,1.86,2.88,1.0,1.38
e_0,0.72,0.31,0.66,0.68,0.51,0.47,1.43,0.99,1.28,1.22,1.22,1.19,1.98,1.15,3.16,1.5
g_0,1.09,0.48,0.59,0.53,0.46,0.4,1.05,0.68,1.34,1.05,1.09,1.81,1.47,1.23,1.04,1.03
