,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.0,0.98,0.82,1.17,0.99,0.79,1.01,1.55,0.97,1.28,1.01,1.09,1.0,1.29,1.12,1.19
d_1,1.03,1.0,1.05,0.96,0.95,0.95,1.0,1.16,1.27,0.8,1.08,0.96,1.03,0.75,1.18,1.02
f_1,1.23,0.96,1.0,1.05,0.79,1.04,0.85,0.84,0.91,1.0,0.89,0.84,0.91,1.14,0.94,1.04
c_1,0.86,1.03,0.95,1.0,1.58,0.87,1.06,0.67,0.83,0.94,0.85,1.07,0.99,0.92,0.98,0.87
b_1,1.0,1.05,1.27,0.62,1.0,1.76,0.96,0.97,0.98,1.07,0.91,0.87,1.09,0.99,0.85,0.82
a_1,1.25,1.03,0.96,1.15,0.57,1.0,1.16,1.07,1.0,1.29,1.27,1.12,1.03,1.04,0.88,1.03
h_1,1.0,1.02,1.18,0.96,1.01,0.82,1.0,0.97,0.96,1.11,0.89,0.9,1.03,1.02,0.98,1.03
d_0,0.65,0.91,1.15,1.53,1.06,0.93,1.06,1.0,0.82,1.03,1.07,0.88,1.01,0.99,1.0,1.03
c_0,1.03,0.79,1.09,1.21,1.01,0.97,1.03,1.21,1.0,0.96,1.4,1.07,1.0,1.04,1.1,1.03
g_1,0.82,1.24,0.95,1.05,0.95,0.8,0.91,0.98,1.05,1.0,1.11,1.32,0.77,1.01,1.04,0.92
b_0,0.96,0.93,1.14,1.16,1.08,0.76,1.13,0.91,0.7,0.94,1.0,0.98,1.07,1.09,0.88,1.36
f_0,0.94,1.02,1.05,1.02,1.13,0.88,1.09,1.09,0.98,0.76,1.02,1.0,1.05,0.93,1.19,0.94
h_0,0.99,0.99,1.07,1.02,0.91,0.95,0.97,1.01,0.95,1.34,0.93,0.94,1.0,1.14,0.77,0.85
g_0,0.76,1.31,0.96,1.12,0.93,0.98,0.96,1.01,0.95,1.02,0.87,1.1,0.87,1.0,0.87,0.9
e_0,0.92,0.84,1.14,1.07,1.16,1.1,1.04,1.03,1.01,0.9,1.15,0.84,1.26,1.17,1.0,0.9
a_0,0.89,0.96,1.0,1.15,1.14,1.08,1.04,0.99,0.96,1.1,0.75,1.07,1.18,1.11,1.1,1.0
