,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,24.74,0.36,0.35,0.26,0.32,0.43,0.79,0.1,0.65,1.6,0.88,0.77,0.88,0.95,0.83,0.86
e_1,0.28,24.97,0.32,0.43,0.31,0.36,0.66,1.62,0.75,0.71,0.76,0.9,0.86,0.89,0.27,0.74
f_1,0.35,0.65,25.26,0.35,0.25,0.35,0.77,0.68,0.87,0.81,0.14,0.8,0.66,0.73,0.53,0.61
c_1,0.33,0.37,0.36,26.32,0.69,0.29,0.59,0.72,0.61,0.14,0.8,0.57,1.07,0.65,0.55,1.07
b_1,0.35,0.28,0.3,0.38,33.12,0.74,0.85,0.66,0.64,0.73,0.74,0.12,0.75,0.54,0.87,0.99
a_1,0.35,0.34,0.21,0.31,0.43,43.78,0.78,1.0,0.76,0.86,0.96,0.81,0.9,0.2,1.01,0.78
h_1,0.63,0.43,1.19,0.69,0.53,0.42,10.01,1.32,1.87,1.39,1.22,1.32,0.52,1.32,1.52,1.78
d_0,0.23,0.61,0.59,1.54,0.74,0.65,1.27,4.91,0.88,1.05,1.53,1.26,1.47,1.18,1.43,1.53
g_1,1.12,0.49,0.53,0.55,0.7,0.53,0.89,1.52,12.53,1.32,2.49,1.76,1.56,1.46,2.08,0.37
c_0,0.65,0.58,0.99,0.14,0.51,0.53,1.81,1.66,1.27,6.3,1.74,4.52,1.94,1.76,1.85,2.66
f_0,0.71,0.48,0.28,0.87,0.76,0.6,1.39,1.76,1.89,1.25,6.06,1.95,2.09,1.68,3.97,1.7
b_0,0.79,0.59,0.85,0.8,0.18,0.48,1.34,1.76,1.4,1.47,1.93,6.78,2.19,3.82,1.93,1.58
h_0,0.92,0.52,1.31,0.53,0.59,0.38,0.32,1.38,1.52,1.0,1.33,1.56,0.63,1.46,1.47,1.97
a_0,0.74,0.69,0.89,0.74,0.48,,1.67,1.78,0.67,1.62,2.2,1.48,1.76,8.77,2.37,1.71
e_0,0.93,0.11,0.88,0.72,0.64,0.6,1.63,1.95,1.25,1.38,1.85,1.64,2.01,1.61,8.77,1.89
g_0,1.11,0.46,0.71,0.52,0.59,0.56,1.25,1.09,0.73,1.46,3.17,2.0,1.91,1.82,1.46,0.86
