,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.91,0.35,0.28,0.33,0.26,0.19,0.29,0.27,0.29,0.46,0.23,0.25,0.19,0.28,0.12,0.23
f_1,0.59,0.91,0.27,0.29,0.23,0.16,0.28,0.22,0.24,0.27,0.14,0.23,0.19,0.24,0.12,0.18
d_1,0.33,0.33,0.91,0.21,0.24,0.2,0.33,0.26,0.52,0.18,0.27,0.31,0.2,0.25,0.19,0.26
c_1,0.31,0.3,0.32,0.9,0.49,0.18,0.3,0.24,0.13,0.25,0.24,0.15,0.18,0.25,0.18,0.2
b_1,0.3,0.36,0.32,0.3,0.89,0.34,0.28,0.26,0.24,0.23,0.24,0.12,0.12,0.28,0.15,0.19
a_1,0.4,0.34,0.33,0.28,0.21,0.88,0.32,0.26,0.29,0.3,0.26,0.25,0.13,0.33,0.22,0.24
h_1,0.35,0.49,0.35,0.33,0.27,0.2,0.61,0.34,0.29,0.28,0.22,0.3,0.19,0.22,0.19,0.32
g_1,0.35,0.33,0.51,0.33,0.3,0.16,0.26,0.61,0.31,0.26,0.38,0.25,0.18,0.32,0.18,0.21
c_0,0.36,0.43,0.42,0.26,0.21,0.19,0.36,0.28,0.51,0.28,0.28,0.54,0.26,0.34,0.25,0.29
d_0,0.35,0.38,0.26,0.56,0.31,0.13,0.3,0.29,0.22,0.47,0.24,0.25,0.22,0.33,0.22,0.2
f_0,0.31,0.3,0.42,0.34,0.26,0.21,0.34,0.29,0.36,0.35,0.5,0.3,0.23,0.3,0.45,0.29
b_0,0.37,0.42,0.37,0.37,0.18,0.15,0.33,0.29,0.32,0.33,0.3,0.5,0.43,0.32,0.21,0.32
a_0,0.36,0.44,0.4,0.34,0.25,0.13,0.37,0.3,0.31,0.29,0.29,0.26,0.48,0.31,0.19,0.26
h_0,0.37,0.51,0.39,0.27,0.26,0.21,0.23,0.36,0.3,0.27,0.24,0.24,0.2,0.25,0.16,0.33
e_0,0.32,0.44,0.37,0.3,0.33,0.16,0.35,0.27,0.32,0.29,0.3,0.32,0.26,0.29,0.44,0.27
g_0,0.35,0.31,0.57,0.31,0.26,0.18,0.3,0.21,0.3,0.26,0.4,0.31,0.23,0.29,0.22,0.21
