,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,16.68,0.47,1.07,0.6,0.49,0.48,0.8,0.61,0.96,0.98,0.81,0.36,0.98,0.84,0.76,0.67
d_1,0.55,18.73,0.47,0.4,0.55,0.54,0.99,0.97,2.0,0.32,1.23,1.25,0.97,1.08,1.21,1.11
e_1,0.62,0.5,17.65,0.63,0.46,0.48,0.82,0.94,0.89,1.96,0.93,1.07,1.15,0.88,0.91,0.38
c_1,0.48,0.5,0.47,21.17,1.21,0.52,0.77,0.68,0.3,0.83,0.59,0.87,0.76,0.75,0.94,1.0
b_1,0.48,0.54,0.43,0.62,22.1,1.14,0.87,0.81,0.6,0.8,0.3,0.78,0.81,0.71,0.84,1.08
a_1,0.65,0.65,0.62,0.42,0.45,27.88,0.91,0.96,0.79,0.83,1.2,0.73,1.03,0.49,0.9,0.67
h_1,1.1,0.69,0.56,0.66,0.62,0.65,5.51,1.35,1.15,0.92,1.19,1.17,0.57,1.12,1.56,1.09
g_1,0.64,1.26,0.5,0.56,0.6,0.55,1.15,6.41,1.09,0.77,1.24,1.91,1.41,1.44,0.66,1.23
c_0,0.81,0.89,0.58,0.39,0.46,0.7,1.24,1.3,3.41,1.07,3.19,1.38,1.41,1.4,1.15,1.5
d_0,0.73,0.26,0.63,1.88,0.69,0.67,1.03,1.64,0.79,3.26,1.4,1.31,1.25,1.05,1.32,1.32
b_0,0.66,1.02,0.56,0.84,0.24,0.45,1.17,1.29,1.17,1.3,4.13,1.27,1.59,3.53,1.25,1.45
f_0,0.38,0.8,0.59,0.76,0.65,0.73,1.4,1.46,1.14,1.28,1.33,4.43,1.3,1.37,1.53,3.74
h_0,0.89,0.73,0.67,0.76,0.6,0.73,0.66,1.5,1.25,1.27,1.35,1.19,0.57,1.32,1.82,1.29
a_0,0.79,0.73,0.66,0.8,0.53,0.21,1.13,1.26,1.24,1.33,1.17,1.5,1.76,5.67,1.56,1.58
g_0,0.63,1.22,0.52,0.82,0.65,0.64,1.27,0.7,1.5,1.28,1.13,2.13,1.23,1.33,0.7,1.38
e_0,0.62,0.88,0.39,0.8,0.65,0.83,1.31,1.3,1.19,0.99,1.31,1.31,1.39,1.44,1.42,5.88
