,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,105.07,91.11,127.34,102.79,146.14,345.19,11579.21,20236.67,39703.17,27686.05,31017.91,52808.49,110303.98,140143.84,126118.91,233799.3
f_1,90.41,132.72,96.48,101.32,126.95,273.04,8472.09,18671.96,24805.52,25394.1,28443.39,32539.25,88394.96,116308.54,102230.68,206752.98
c_1,53.64,82.58,143.48,98.25,196.37,312.27,10785.74,17984.84,20467.34,19195.97,20253.5,48134.46,92728.42,116288.18,135786.29,202102.88
d_1,57.35,84.23,85.17,151.95,130.83,283.85,10975.1,17816.75,21723.29,28203.01,41914.98,44675.28,100630.49,120681.24,141855.68,172444.99
b_1,55.22,77.48,71.85,82.46,193.94,417.26,9417.62,16054.45,17997.44,17823.62,25231.77,35126.07,65840.54,112188.92,107984.86,176123.14
a_1,43.32,60.38,64.4,71.8,77.1,372.75,8519.87,14918.59,15154.51,18411.37,18131.03,28750.79,65424.02,93874.75,104428.84,131316.15
h_1,16.43,30.59,23.45,26.82,34.42,62.43,3561.33,5776.24,5527.54,6219.93,7647.05,10264.14,26367.33,30718.53,38465.22,63497.83
g_1,12.43,18.13,20.69,28.03,27.76,56.4,2177.57,5798.07,4147.74,5363.57,6287.16,12742.37,19719.27,24612.29,35560.8,36588.71
d_0,11.41,17.97,28.9,17.88,31.81,59.48,2055.89,3920.33,5815.0,5237.48,4547.29,8886.91,20655.91,26343.8,29877.62,40671.8
b_0,12.86,19.35,21.08,21.13,24.23,50.74,2191.48,3934.94,4774.48,6409.66,5966.42,9692.42,34785.7,27074.21,30595.76,44083.01
c_0,13.34,18.12,18.83,18.24,22.88,59.67,2100.1,3580.6,5307.19,7146.01,7062.78,8937.02,25512.57,27187.68,29429.17,42667.68
f_0,8.69,14.42,16.9,18.0,27.41,46.21,1886.09,3085.72,3949.36,4278.86,5101.93,9939.33,19810.84,22564.63,39580.31,31611.3
a_0,7.8,12.95,12.57,13.74,21.54,29.97,1331.18,2346.23,3309.0,2707.18,3486.75,5377.12,17403.43,18258.69,17107.52,30338.27
h_0,8.31,13.16,12.43,14.01,16.83,34.55,1182.39,2955.56,2744.09,3067.51,3394.41,5387.25,12130.1,13854.33,15826.36,30120.57
e_0,6.83,12.95,11.65,12.3,16.43,26.29,1171.12,2020.6,2692.15,3228.99,3407.05,4647.48,14442.46,17549.54,22490.51,25827.08
g_0,7.04,8.16,10.59,14.22,14.28,31.5,1023.91,1768.95,2588.47,2947.64,3168.59,6067.15,11863.89,12427.51,15807.71,20352.41
