,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.09,2.35,2.27,2.07,2.08,1.82,0.48,0.63,0.48,0.43,0.46,0.58,0.26,0.38,0.34,0.38
e_1,1.47,1.09,2.6,2.4,2.34,2.3,0.66,0.75,0.56,0.52,0.55,0.62,0.36,0.49,0.42,0.55
d_1,2.56,2.88,1.09,2.87,2.53,2.06,0.62,0.46,0.72,0.45,0.46,0.47,0.32,0.48,0.25,0.48
c_1,2.6,2.2,2.97,1.1,2.76,2.74,0.78,0.77,0.36,0.7,0.54,0.56,0.42,0.55,0.39,0.5
b_1,3.37,3.0,3.38,1.9,1.11,2.91,1.05,0.93,0.67,1.04,1.06,0.66,0.47,0.66,0.49,0.68
a_1,5.03,4.27,4.94,3.67,2.26,1.12,1.51,1.23,0.93,1.14,1.22,0.97,0.69,1.38,0.64,0.99
h_1,10.13,8.94,8.61,9.76,9.5,7.71,1.54,2.58,2.16,1.73,1.8,1.74,1.59,1.56,1.45,1.74
g_1,11.2,12.29,10.35,12.11,11.23,9.83,2.54,1.59,2.9,2.3,2.52,2.36,1.38,2.16,2.12,2.01
d_0,11.87,7.59,15.04,13.47,11.52,11.09,3.32,3.94,1.83,2.52,2.8,2.53,2.15,2.67,1.95,2.45
c_0,15.13,13.57,7.8,18.09,14.31,10.45,3.64,3.41,3.68,1.77,2.69,2.38,1.97,2.52,1.64,2.3
b_0,14.84,12.29,10.22,16.91,17.54,10.73,3.64,3.65,2.58,1.5,1.77,2.4,1.89,2.48,1.6,2.17
f_0,19.68,14.54,14.39,15.56,13.59,13.86,4.69,3.03,3.19,2.91,3.28,1.85,2.12,3.09,1.36,2.95
h_0,18.44,18.43,17.04,17.1,14.61,14.16,6.84,5.33,3.9,3.22,3.55,3.16,3.2,3.04,2.24,2.77
a_0,21.34,22.25,16.78,19.45,24.49,24.05,5.02,5.13,4.47,3.04,2.37,3.72,2.57,2.08,2.64,2.77
g_0,23.89,22.12,21.86,24.12,20.44,21.01,4.96,7.84,5.4,4.05,4.59,4.08,2.5,4.54,3.33,4.05
e_0,34.84,24.66,22.01,22.39,24.71,21.93,5.64,5.93,4.65,4.1,4.29,2.34,3.59,3.56,2.54,2.19
