,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.09,1.38,0.61,0.71,0.68,0.67,0.92,0.81,0.87,0.99,0.88,0.54,0.96,0.79,0.76,0.89
e_1,0.86,2.11,0.67,0.95,0.65,0.68,0.95,0.85,0.84,1.59,0.97,0.95,0.92,0.97,0.69,1.01
d_1,0.79,0.69,2.23,0.55,0.72,0.8,0.89,1.78,1.03,0.67,1.29,1.13,1.08,1.14,1.12,1.01
c_1,0.7,0.6,0.75,2.44,1.42,0.58,0.82,0.41,0.9,0.76,0.67,0.91,0.95,0.93,1.0,1.0
b_1,0.71,0.66,0.84,0.65,2.41,1.47,1.0,0.87,0.86,0.87,0.54,0.99,0.94,0.7,0.86,0.95
a_1,0.84,0.69,0.83,0.84,0.65,3.23,1.23,0.97,0.88,1.08,1.02,1.01,1.03,0.65,0.87,1.03
h_1,1.14,0.79,0.89,0.83,0.7,0.77,1.94,0.97,1.28,0.84,1.12,1.0,0.8,1.2,0.99,1.33
c_0,1.0,0.83,0.96,0.65,0.66,0.69,0.98,1.73,1.29,1.1,2.12,1.26,1.2,1.43,1.28,1.08
g_1,0.64,0.75,1.4,0.84,0.8,0.72,0.9,1.13,2.42,0.75,0.98,1.64,1.07,0.95,1.07,0.83
d_0,0.83,0.84,0.66,1.52,0.77,0.64,1.09,0.76,0.99,1.56,1.08,0.88,1.19,1.14,1.01,0.98
b_0,0.96,0.88,0.93,0.96,0.6,0.53,1.09,1.15,1.2,1.0,1.95,1.14,1.16,2.33,1.19,1.01
f_0,0.66,0.66,0.95,0.93,0.9,0.79,1.11,1.25,1.15,0.93,1.22,2.03,1.22,1.53,2.48,1.1
h_0,1.1,0.85,0.98,0.91,0.72,0.6,0.78,1.08,1.31,0.93,0.98,1.06,0.78,0.95,1.28,1.32
a_0,0.99,0.74,0.91,1.06,0.89,0.4,1.06,1.02,1.13,0.97,1.26,1.19,1.11,2.2,1.51,0.97
e_0,0.87,0.56,0.98,0.97,0.85,0.65,1.16,1.15,1.35,0.98,1.24,1.21,1.27,1.32,2.62,1.23
g_0,0.71,0.71,1.29,0.87,0.72,0.7,1.0,1.06,0.95,0.94,1.22,1.77,1.1,1.21,1.45,0.77
