,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.85,1.04,1.76,1.97,3.7,16.4,24.09,29.69,44.68,42.39,62.28,79.84,93.93,118.23,146.29
f_1,1.2,1.0,1.01,1.57,1.73,3.69,13.26,22.5,27.68,33.04,39.81,43.34,72.87,74.35,75.4,133.2
d_1,0.94,0.99,1.0,1.25,1.78,3.35,14.62,19.12,36.33,30.8,39.57,47.26,66.49,77.95,106.12,108.38
c_1,0.58,0.64,0.79,1.0,1.56,2.41,10.73,12.8,17.94,15.45,24.34,32.77,45.7,51.92,70.39,91.69
b_1,0.49,0.56,0.56,0.65,1.0,2.95,10.74,13.07,17.14,17.21,21.06,28.55,36.45,47.53,60.27,72.14
a_1,0.27,0.27,0.29,0.41,0.35,1.0,4.71,6.51,8.97,9.29,12.06,13.78,20.96,27.4,27.36,37.48
h_1,0.06,0.07,0.07,0.1,0.09,0.21,1.0,1.58,1.93,1.98,2.37,3.04,4.33,5.36,6.36,9.16
g_1,0.04,0.04,0.05,0.07,0.08,0.14,0.63,1.0,1.41,1.44,1.77,2.53,3.15,3.59,5.13,6.16
c_0,0.03,0.04,0.03,0.06,0.06,0.1,0.53,0.72,1.0,1.24,1.67,1.64,2.53,2.82,3.89,4.29
d_0,0.02,0.03,0.03,0.07,0.06,0.1,0.51,0.67,0.81,1.0,1.21,1.53,2.38,2.68,3.7,4.48
b_0,0.02,0.03,0.03,0.04,0.05,0.08,0.42,0.55,0.59,0.8,1.0,1.13,2.44,2.29,2.65,3.18
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.32,0.4,0.58,0.64,0.9,1.0,1.54,1.84,3.42,2.43
a_0,0.01,0.01,0.01,0.02,0.03,0.05,0.24,0.31,0.41,0.42,0.42,0.68,1.0,1.18,1.41,1.5
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.28,0.34,0.37,0.42,0.53,0.83,1.0,1.17,1.7
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.19,0.28,0.28,0.39,0.31,0.73,0.83,1.0,1.21
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.17,0.23,0.21,0.31,0.43,0.64,0.6,0.83,1.0
