,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,102.01,101.49,72.37,120.38,169.38,465.0,10768.63,17440.6,27076.91,29549.14,35655.15,49471.7,139089.01,131452.54,109197.18,377286.07
e_1,62.51,105.71,67.05,147.81,202.87,541.9,11546.06,17378.5,38459.85,30093.8,49230.64,50761.75,149145.88,145989.34,132575.79,392017.08
d_1,70.83,70.16,113.22,102.55,174.23,475.44,11406.51,16272.27,22401.37,47593.53,43807.91,57396.6,148467.47,142602.5,150082.67,363080.77
c_1,56.65,54.21,66.79,158.89,249.54,484.37,9870.81,13844.0,17231.8,19248.84,37838.79,30162.6,112059.5,105609.0,120416.11,284803.37
b_1,54.5,49.96,55.19,71.69,228.93,703.65,9255.24,12875.0,17255.23,21441.98,28886.74,30008.62,115271.33,77939.28,103606.98,260265.07
a_1,40.14,38.26,43.94,57.25,74.31,564.08,6589.3,10232.26,10878.01,17634.25,23204.23,30337.34,82930.37,52006.88,67899.08,193231.89
h_1,19.9,16.31,18.95,28.18,42.21,125.74,3654.96,4762.79,5813.94,6029.76,8710.99,9858.64,28037.57,26004.29,29545.75,107589.55
g_1,14.06,14.1,20.1,26.15,35.27,104.06,2386.6,4855.46,4523.09,6738.62,10891.04,9611.51,26125.79,29209.89,29043.43,72190.18
d_0,12.12,11.51,11.55,35.08,40.97,125.35,2249.77,3347.67,5770.04,4269.53,8459.59,8120.34,25118.78,25025.55,24343.67,71938.3
c_0,13.27,12.62,13.58,21.97,27.64,87.41,2250.0,3101.86,4799.7,7038.66,7189.47,13795.55,27318.42,28910.01,26950.83,69487.23
f_0,10.34,9.49,13.44,19.01,32.84,87.65,2181.35,2615.11,3976.31,5546.01,8765.08,7420.87,23390.43,19889.16,38090.17,61931.54
b_0,11.81,9.37,12.2,22.32,25.21,68.1,1911.46,2620.77,3974.11,4125.74,6675.91,9716.31,24689.65,34647.07,23524.18,64874.54
h_0,9.34,8.11,8.92,13.71,19.27,54.38,1227.08,2508.87,2780.95,3418.58,4800.69,5764.5,14934.94,17363.4,14314.99,49789.89
a_0,7.87,7.09,9.41,14.47,23.83,52.72,1539.35,1776.25,2670.13,3435.31,4839.33,4474.95,16052.75,20468.06,16569.45,43975.6
e_0,8.78,6.73,8.89,13.6,19.79,65.87,1498.5,1893.69,2801.5,3374.73,4158.72,5587.69,19102.52,15052.95,20583.66,36035.63
g_0,5.38,5.29,8.03,9.57,16.73,41.96,880.74,1340.71,1785.95,2885.97,4687.12,4214.97,11766.18,11237.12,13846.55,29598.44
