,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,116.76,45.24,55.65,99.26,82.19,240.3,7032.14,12352.06,17653.75,32540.41,35854.53,39722.46,90204.28,54020.59,77192.7,120141.81
d_1,58.61,119.62,55.11,66.37,85.77,229.89,6459.18,10466.55,29362.51,11185.53,32893.9,37534.07,89650.14,89504.47,85374.21,128679.27
f_1,78.83,58.67,123.69,65.5,74.88,188.57,6010.38,12928.91,15761.6,18928.82,14209.56,33574.87,69602.93,55311.62,88040.91,136679.58
c_1,36.02,48.46,54.04,157.42,127.08,185.45,5331.02,11233.15,9312.09,15114.62,27282.45,21525.46,83978.99,74779.32,65597.9,132326.26
b_1,44.85,41.75,48.64,54.9,175.83,375.62,5525.36,10210.16,12529.74,15702.81,25044.67,15641.74,88911.09,79637.91,62249.06,116034.76
a_1,31.37,34.81,38.43,57.26,44.26,412.16,3604.62,8470.14,10039.49,12525.91,17396.86,30432.88,50712.13,57787.58,32759.87,83418.66
h_1,12.69,16.08,20.07,23.66,23.6,61.83,2865.81,3916.41,4723.61,4757.64,8340.57,10833.56,21881.46,22695.18,21896.42,47599.43
g_1,11.33,18.74,11.1,12.4,17.9,56.06,1413.74,5004.59,4473.53,3704.35,8479.37,8708.82,15595.5,19782.49,17909.28,22599.5
c_0,10.82,10.98,13.77,11.75,17.33,50.05,1454.06,2531.48,5526.65,4211.56,6486.48,12941.11,18178.2,17430.15,22057.23,30274.31
d_0,9.04,6.56,11.68,27.28,18.63,36.67,1435.73,2211.2,2473.41,5889.88,5421.8,7618.52,19714.52,15669.33,17607.31,26011.38
f_0,7.75,10.17,9.53,12.12,16.02,39.8,1282.64,2212.02,3361.5,3465.01,8354.43,6980.83,17972.39,30016.48,15334.07,22923.37
b_0,7.71,11.42,10.61,15.04,9.07,27.68,1060.17,2093.35,2409.37,2951.01,4640.73,9534.21,18103.62,14289.14,25621.12,21234.92
h_0,5.98,7.64,10.4,10.99,9.5,34.85,526.35,2216.0,2283.45,2611.37,3577.33,4387.62,9743.81,10347.0,13000.38,23284.83
e_0,4.27,7.66,9.88,9.03,9.75,31.9,903.26,1570.48,2041.85,2227.71,2893.22,4687.74,13827.9,18293.99,9940.95,17473.56
a_0,7.06,6.93,8.23,9.9,10.86,17.24,914.32,1554.18,1993.69,2235.2,4205.57,4005.08,12906.2,11251.21,18502.58,18729.73
g_0,5.04,8.83,5.6,9.62,9.49,28.98,640.1,994.65,1826.47,1883.65,4292.26,4489.79,9271.41,10482.24,8815.39,11282.83
