,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,2.16,1.21,2.27,2.22,1.79,0.65,0.42,0.69,0.47,0.4,0.46,0.3,0.42,1.02,0.4
d_1,2.86,0.43,2.04,2.07,1.91,1.91,0.52,1.1,0.36,0.34,0.36,0.38,0.24,0.36,0.37,0.19
f_1,2.04,1.84,0.43,1.96,1.86,1.97,0.43,0.42,0.75,0.37,0.42,1.11,0.25,0.38,0.38,0.28
c_1,1.59,2.55,2.21,0.41,2.61,1.79,0.63,0.24,0.57,1.14,0.38,0.44,0.27,0.36,0.48,0.36
b_1,2.36,2.41,2.27,1.19,0.39,2.63,0.68,0.59,0.76,0.59,1.32,0.51,0.48,0.51,0.57,0.35
a_1,3.36,2.96,3.18,3.14,1.22,0.32,0.84,0.64,0.83,0.73,0.88,0.56,0.4,2.01,0.56,0.43
h_1,2.96,3.15,3.92,3.16,3.14,3.35,0.34,0.63,0.96,0.74,0.63,0.6,0.87,0.59,0.54,0.45
d_0,1.98,6.61,3.68,3.57,4.23,4.46,1.22,0.4,1.15,0.73,0.7,0.79,0.59,0.76,0.64,0.6
g_1,4.09,3.4,3.93,4.0,3.45,3.46,0.86,0.81,0.31,0.72,0.77,0.63,0.4,0.62,0.62,0.84
c_0,3.73,1.91,4.48,10.03,3.79,3.13,1.31,1.23,1.15,0.37,0.88,0.73,0.65,0.71,0.73,0.47
b_0,3.89,3.32,3.83,5.65,9.82,4.49,0.98,0.73,1.14,0.44,0.37,0.66,0.66,0.79,0.68,0.57
f_0,3.68,3.3,8.65,4.63,4.14,4.15,1.34,1.09,0.59,0.76,0.76,0.35,0.57,0.78,0.88,0.43
h_0,4.52,4.03,4.2,5.48,4.76,4.46,2.47,0.89,1.62,0.77,0.76,0.96,1.11,0.71,0.7,0.64
a_0,3.97,5.08,4.32,5.18,7.97,10.1,1.38,1.06,1.66,0.9,0.47,0.92,0.7,0.36,0.78,0.69
e_0,6.49,4.67,7.06,5.33,5.45,5.56,1.44,1.1,1.33,0.95,0.93,0.45,0.74,0.85,0.31,0.64
g_0,5.22,4.1,5.65,4.88,5.68,5.14,1.16,1.17,2.38,1.14,1.12,1.06,0.51,1.14,0.78,1.25
