,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.43,4.19,2.44,6.06,4.38,4.74,1.38,1.37,1.0,0.78,1.1,1.06,0.75,0.87,4.27,0.78
d_1,5.94,0.43,4.05,5.09,5.95,4.41,1.15,0.69,0.81,6.48,0.74,0.63,0.67,0.75,0.74,0.37
f_1,3.88,4.68,0.43,4.28,4.69,4.83,0.93,1.45,0.85,0.97,3.39,0.82,0.43,0.77,0.77,0.79
c_1,3.94,5.81,5.62,0.41,4.86,3.53,1.07,2.42,3.58,0.44,1.01,0.96,0.68,0.96,0.94,0.56
b_1,5.38,5.33,5.45,2.39,0.4,4.53,1.48,1.31,1.2,0.94,0.95,5.05,0.71,1.31,1.36,0.78
a_1,5.77,5.69,7.42,6.15,2.59,0.34,2.03,1.87,1.31,1.65,1.56,2.12,0.97,7.73,0.87,0.91
h_1,4.64,4.87,4.44,5.16,4.65,6.39,0.37,1.37,0.92,0.92,1.02,0.97,1.95,0.86,0.84,0.71
g_1,5.49,5.88,5.47,6.25,5.64,4.68,1.27,0.33,0.98,1.55,0.99,1.08,0.48,1.16,1.05,2.34
c_0,5.51,2.57,5.9,25.44,8.85,6.06,1.72,1.53,0.42,2.12,0.96,1.04,0.76,1.34,1.31,0.99
d_0,2.87,23.39,5.82,5.02,5.86,5.98,1.93,1.94,1.42,0.44,1.27,1.42,0.8,1.25,1.22,1.17
f_0,4.89,4.99,27.14,5.71,6.22,7.57,1.85,1.08,1.18,1.33,0.38,1.15,0.98,1.35,1.24,0.69
b_0,6.32,5.13,6.26,11.96,18.9,4.53,1.5,1.46,0.62,1.27,1.02,0.38,1.07,1.28,1.11,0.71
h_0,7.22,6.74,8.08,6.51,5.85,7.4,6.37,2.71,1.84,1.58,1.38,1.09,2.31,1.16,1.19,1.01
a_0,8.92,6.41,5.89,6.94,8.05,,2.04,2.73,1.17,1.83,1.43,0.67,0.98,0.35,1.93,0.99
e_0,23.48,5.6,10.13,6.6,6.88,5.97,2.12,2.05,1.36,1.68,0.6,1.74,1.24,1.73,0.35,0.97
g_0,11.17,6.79,7.83,6.28,8.38,6.91,1.6,4.77,1.46,2.13,1.26,1.7,0.72,1.19,1.7,2.54
