,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.92,1.58,1.34,1.85,1.51,1.54,5.71,5.52,7.21,13.01,7.99,7.87,11.14,7.68,4.63,11.62
f_1,2.7,6.04,1.5,1.45,1.17,1.32,4.99,4.55,6.9,6.13,7.18,3.64,10.16,6.59,5.02,8.94
d_1,1.45,1.77,6.11,1.1,1.24,1.36,6.73,6.34,12.97,3.54,8.62,8.29,10.75,8.39,8.34,11.46
c_1,1.46,1.48,1.14,6.72,3.28,1.07,4.53,4.97,2.97,7.55,5.57,6.99,9.98,7.69,7.35,9.43
b_1,1.27,1.58,1.45,1.55,7.96,3.46,5.03,5.19,6.5,5.75,3.31,5.94,9.4,6.09,7.65,9.6
a_1,1.45,1.42,1.82,1.86,1.22,12.2,6.11,4.65,6.33,7.96,6.44,7.16,14.53,3.39,7.77,12.27
h_1,1.74,2.54,1.98,1.86,1.63,1.57,15.81,8.71,7.94,7.0,8.28,7.03,7.57,10.49,9.32,18.89
g_1,1.32,1.5,3.31,1.47,1.65,1.72,7.17,19.65,8.84,5.79,6.74,15.37,13.65,9.01,9.34,8.52
c_0,2.03,2.08,2.14,1.27,1.34,1.82,6.81,7.25,15.66,7.85,16.29,9.68,14.89,11.83,10.01,14.87
d_0,1.74,1.76,0.88,3.8,2.04,1.49,6.21,6.48,6.43,16.09,7.66,9.58,12.82,11.26,10.04,13.43
b_0,2.1,2.07,1.92,1.82,1.03,1.34,7.38,6.53,8.47,9.82,17.56,10.62,15.26,20.78,12.29,13.55
f_0,1.26,1.39,2.09,2.24,1.65,1.74,7.27,7.65,9.13,10.21,9.94,19.35,15.82,11.35,23.78,12.39
h_0,1.79,2.97,2.07,1.61,1.52,1.66,4.58,8.16,8.74,8.69,7.54,9.68,9.39,10.91,10.15,18.31
a_0,1.97,1.79,2.47,1.87,1.93,1.13,6.74,6.83,9.66,7.47,9.0,7.98,14.31,22.86,7.94,13.9
e_0,1.05,2.09,2.13,2.42,1.93,1.68,7.28,6.92,7.97,9.28,10.57,9.93,14.69,11.99,26.36,14.28
g_0,1.79,1.86,2.91,1.64,1.58,1.67,7.66,5.06,8.6,7.4,9.0,13.95,11.2,10.74,10.3,9.6
