,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.99,1.26,0.71,0.74,0.64,0.62,0.9,0.83,0.82,0.97,0.91,0.51,0.92,0.77,0.8,0.72
e_1,0.88,1.99,0.57,0.99,0.68,0.67,0.99,0.97,0.91,1.69,1.0,0.91,0.99,1.12,0.91,0.67
d_1,0.85,0.65,2.21,0.63,0.68,0.68,1.02,1.01,1.75,0.6,1.21,1.09,1.06,1.05,1.07,0.9
c_1,0.69,0.66,0.78,2.31,1.37,0.64,0.92,0.94,0.48,0.86,0.73,1.04,0.93,0.99,0.83,0.97
b_1,0.69,0.69,0.88,0.72,2.72,1.52,0.87,0.86,0.82,0.86,0.59,0.88,0.92,0.76,1.04,1.0
a_1,0.75,0.78,0.98,0.64,0.75,3.64,0.92,0.87,0.99,0.69,1.01,1.06,1.13,0.62,1.2,1.16
h_1,1.05,0.81,0.93,0.81,0.83,0.71,1.95,1.3,0.94,0.98,1.1,1.12,0.9,0.92,1.4,1.14
g_1,0.84,0.66,1.24,0.84,0.78,0.8,0.95,2.42,0.96,0.76,0.99,1.46,0.95,1.0,0.75,1.28
c_0,0.93,0.89,0.92,0.68,0.6,0.73,1.19,1.12,1.76,0.88,2.07,1.32,1.18,1.31,1.38,1.29
d_0,0.79,0.78,0.54,1.56,0.88,0.8,0.99,0.96,0.8,1.62,0.91,1.2,0.97,0.91,0.96,1.07
b_0,0.99,0.89,0.8,0.87,0.51,0.59,1.18,1.08,1.11,1.12,1.93,1.21,1.29,2.29,1.3,1.47
f_0,0.66,0.64,0.99,0.89,0.86,1.0,1.17,1.13,1.15,1.03,1.13,2.05,1.04,1.15,1.05,2.53
h_0,1.15,0.8,0.87,0.87,0.63,0.78,0.8,1.32,1.05,0.95,1.08,0.99,0.7,1.12,1.44,1.06
a_0,0.98,0.76,0.87,0.85,0.9,0.63,1.16,1.1,1.12,1.18,0.88,1.35,1.27,2.32,1.13,1.42
g_0,0.72,0.72,1.33,0.85,0.65,0.78,0.99,0.92,1.2,0.91,1.18,1.7,1.22,1.15,0.93,1.11
e_0,0.84,0.69,0.95,0.9,0.83,0.97,0.93,0.96,1.02,1.09,1.26,1.29,1.24,1.1,1.3,2.68
