,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.74,0.98,1.26,1.05,0.96,1.07,1.39,1.04,0.88,1.18,1.1,1.08,1.06,0.94,1.15
f_1,1.34,1.0,0.87,0.97,0.91,0.81,0.85,1.09,1.01,1.0,1.0,0.93,0.88,0.76,1.08,1.0
d_1,1.01,1.15,1.0,0.87,0.97,0.91,0.97,0.94,0.81,1.31,0.96,1.11,0.97,1.05,0.96,0.82
c_1,0.8,1.03,1.13,1.0,1.39,0.93,1.05,0.72,0.94,0.83,0.96,0.75,1.01,0.91,0.85,1.06
b_1,0.94,1.1,1.02,0.73,1.0,1.57,1.06,0.95,1.07,1.16,0.96,1.03,1.11,1.12,0.91,1.02
a_1,1.04,1.23,1.05,1.09,0.66,1.0,1.07,1.1,1.0,0.92,0.96,1.24,1.07,1.18,1.15,1.01
h_1,0.95,1.18,1.03,0.96,0.93,0.91,1.0,0.87,1.32,0.92,0.91,0.91,0.93,0.94,0.92,1.18
d_0,0.73,0.92,1.02,1.37,1.11,0.93,1.13,1.0,1.16,0.78,1.07,1.0,0.99,1.08,1.15,1.12
g_1,0.98,1.0,1.27,1.06,0.93,1.01,0.79,0.84,1.0,0.96,1.19,0.89,0.83,0.88,0.87,0.86
c_0,1.07,1.01,0.77,1.23,0.83,1.09,1.08,1.26,1.05,1.0,1.04,1.47,1.04,0.98,1.15,1.08
f_0,0.84,1.02,1.07,1.07,1.05,0.98,1.1,0.94,0.88,0.96,1.0,1.02,1.0,1.51,1.07,0.85
b_0,0.92,1.05,0.86,1.3,0.97,0.75,1.09,0.98,1.13,0.67,0.94,1.0,1.07,1.03,1.43,1.11
h_0,0.92,1.13,1.01,0.98,0.94,0.94,1.06,1.0,1.27,0.92,1.01,0.99,1.0,0.91,0.97,1.13
e_0,0.94,1.29,0.99,1.06,0.86,0.89,1.09,1.01,1.16,1.04,0.67,0.99,1.13,1.0,1.25,1.03
a_0,1.01,0.95,1.02,1.17,1.1,0.9,1.08,0.9,1.18,0.89,0.93,0.71,1.05,0.8,1.0,0.91
g_0,0.89,0.98,1.19,0.91,0.99,0.96,0.85,0.91,1.14,0.98,1.2,0.93,0.88,0.98,1.11,1.0
