,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,0.91,1.12,0.95,1.05,0.99,1.29,0.98,0.88,0.95,1.06,1.2,1.09,1.4,1.2
f_1,1.2,1.0,0.94,1.15,1.01,1.04,0.72,0.97,1.17,0.89,0.92,0.71,0.82,0.81,0.86,1.01
d_1,1.1,1.06,1.0,0.8,1.0,0.88,1.09,1.24,0.92,1.43,1.12,0.88,1.13,0.87,1.08,0.79
c_1,0.89,0.87,1.24,1.0,1.27,0.92,1.14,0.72,1.09,0.98,0.89,1.06,1.09,1.01,0.95,0.82
b_1,1.05,0.99,1.0,0.79,1.0,1.33,1.07,1.08,0.86,0.92,0.88,1.01,0.89,1.0,0.98,1.09
a_1,0.95,0.96,1.13,1.08,0.75,1.0,1.17,1.16,1.05,1.07,1.23,1.04,1.27,1.34,0.96,1.09
h_1,1.0,1.39,0.9,0.89,0.9,0.83,1.0,0.83,1.04,0.91,1.07,0.98,1.03,1.03,0.81,1.06
d_0,0.77,1.05,0.77,1.43,0.95,0.92,1.2,1.0,0.93,1.02,1.06,1.09,0.93,0.88,0.97,1.22
g_1,0.98,0.84,1.13,0.93,1.18,0.92,0.93,1.05,1.0,0.9,0.99,1.25,0.92,1.06,0.88,1.12
c_0,1.17,1.11,0.7,1.03,1.0,0.93,1.09,1.02,1.1,1.0,1.31,1.1,0.93,1.0,1.06,1.0
b_0,0.99,1.19,0.91,1.1,1.02,0.93,0.93,0.93,1.03,0.77,1.0,0.94,1.06,1.44,0.98,1.13
f_0,0.96,1.3,1.17,0.89,1.04,0.91,1.05,0.91,0.84,0.9,1.08,1.01,0.81,1.17,1.8,0.81
h_0,0.82,1.2,0.91,0.94,1.14,0.76,1.0,1.02,1.09,1.06,0.96,1.16,1.0,0.93,0.96,1.2
a_0,0.89,1.28,1.16,0.96,0.87,0.93,0.97,1.1,0.98,1.09,0.7,0.89,1.11,1.0,0.96,1.15
e_0,0.7,1.15,0.92,1.1,0.98,1.06,1.21,1.02,1.13,0.97,1.07,0.61,1.01,1.11,1.0,1.07
g_0,0.83,1.01,1.27,1.16,0.89,0.98,0.93,0.82,,0.97,0.9,1.25,0.82,0.94,0.98,1.0
