,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,2.38,1.65,1.0,0.96,0.85,0.78,1.93,1.61,2.43,1.96,1.45,1.99,2.53,1.3,1.92,2.28
e_1,1.17,2.38,1.35,0.86,0.98,0.87,1.79,1.64,3.73,1.93,2.19,1.93,2.57,1.35,1.84,2.45
c_1,1.07,0.98,2.44,0.99,1.76,0.69,1.97,1.73,1.95,1.36,2.03,1.46,2.68,1.87,1.73,2.43
d_1,1.17,1.01,0.82,2.49,0.88,0.76,2.1,1.74,1.78,3.89,2.13,2.47,2.8,2.02,1.91,3.01
b_1,1.1,1.05,1.07,0.93,2.63,1.58,2.12,1.59,2.0,1.77,1.98,1.39,2.49,1.88,1.52,2.5
a_1,1.18,1.18,1.23,1.07,0.8,3.19,2.03,1.97,2.46,1.84,2.34,2.16,2.68,2.0,1.41,2.19
h_1,1.49,1.09,1.07,1.18,0.97,0.75,3.51,2.33,2.31,2.02,2.17,2.16,2.47,1.85,1.83,3.19
g_1,1.07,1.08,1.06,1.64,0.95,0.8,2.09,3.77,2.02,2.46,3.17,2.35,2.77,2.29,1.97,2.25
d_0,1.18,1.08,1.85,0.8,1.19,0.84,2.05,2.0,3.13,1.6,2.35,2.03,2.97,1.74,2.0,2.36
c_0,1.35,1.18,1.02,1.24,0.84,0.81,1.97,2.01,2.45,3.53,2.04,4.02,3.35,2.45,2.52,3.25
f_0,1.03,1.0,1.27,1.28,1.12,0.92,2.22,1.87,2.37,2.16,3.59,2.44,3.08,3.83,1.91,2.9
b_0,1.33,1.17,1.18,1.35,0.7,0.67,2.01,2.19,2.62,2.41,2.11,3.55,3.51,2.0,3.87,2.7
h_0,1.53,1.08,1.14,1.19,1.01,0.73,1.86,2.57,2.45,2.13,2.16,2.4,2.71,2.01,2.23,3.26
e_0,1.29,0.97,1.05,1.28,1.13,0.89,2.22,2.14,2.17,2.46,2.7,2.76,3.43,3.74,1.97,2.71
a_0,1.34,1.01,1.22,1.33,0.98,0.63,2.14,2.33,2.5,2.43,2.34,2.39,3.49,2.1,3.53,2.83
g_0,1.04,1.01,1.11,1.52,1.11,0.78,2.06,1.7,2.39,2.44,3.14,2.56,3.1,2.57,2.32,2.12
