,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.09,0.61,0.8,0.95,0.75,0.63,0.97,1.71,0.91,0.97,0.93,1.02,0.96,1.15,0.58,0.98
d_1,0.64,2.3,0.76,0.59,0.65,0.67,0.92,0.62,1.74,0.95,1.33,1.07,1.09,1.01,1.36,1.2
f_1,1.29,0.66,2.15,0.84,0.6,0.7,0.78,0.9,0.82,0.79,0.86,0.5,1.05,0.8,0.73,0.77
c_1,0.72,0.67,0.75,2.18,1.44,0.64,0.96,0.74,0.6,0.89,0.65,0.93,0.89,0.84,0.88,0.8
b_1,0.74,0.82,0.79,0.68,2.44,1.45,0.93,0.88,0.81,0.95,0.59,0.92,0.95,0.95,0.92,0.78
a_1,0.79,0.83,0.84,0.78,0.55,3.45,1.08,1.02,0.95,1.0,1.08,1.18,0.97,1.01,1.07,0.72
h_1,0.79,0.92,1.09,0.79,0.74,0.77,2.11,0.94,0.91,1.34,1.07,1.04,0.77,1.37,1.04,1.11
d_0,0.78,0.49,0.92,1.49,0.95,0.75,1.13,1.65,0.64,1.0,1.04,0.95,0.98,0.87,0.88,1.2
c_0,0.82,1.08,0.87,0.69,0.66,0.81,1.01,1.07,1.72,0.95,2.02,1.22,1.1,1.19,1.21,1.44
g_1,0.55,1.3,0.68,0.83,0.85,0.71,1.03,0.86,1.06,2.47,1.12,1.62,0.99,0.88,1.34,1.04
b_0,0.79,0.96,0.98,0.86,0.59,0.63,1.21,0.96,1.1,0.98,2.02,1.11,1.21,1.24,1.04,2.29
f_0,0.69,1.1,0.57,0.85,0.83,0.85,1.13,1.1,1.13,1.1,1.3,1.91,1.21,1.33,2.21,1.21
h_0,0.86,0.94,1.13,0.86,0.69,0.72,0.82,1.09,0.95,1.36,1.05,1.12,0.77,1.4,0.97,1.02
g_0,0.71,1.41,0.72,0.85,0.75,0.73,1.07,0.87,1.09,1.01,0.95,1.65,1.01,0.77,1.08,1.07
e_0,0.43,1.07,0.92,0.86,0.9,0.9,1.23,0.89,1.15,1.05,1.28,1.23,1.33,1.23,2.67,1.34
a_0,0.72,0.96,0.8,1.0,0.78,0.66,1.02,1.06,1.08,1.17,1.18,1.09,1.28,1.08,1.13,2.36
