,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.51,1.43,1.28,1.83,1.45,1.3,3.16,3.1,3.05,5.07,3.16,3.18,3.65,4.13,2.96,3.97
f_1,2.1,2.51,1.33,1.59,1.2,1.5,2.47,2.78,2.99,3.42,3.18,2.33,3.53,3.53,2.78,3.6
d_1,1.49,1.65,2.56,1.17,1.53,1.43,3.0,2.66,4.92,2.58,3.52,3.3,3.29,3.97,3.37,3.89
c_1,1.27,1.24,1.6,2.57,2.49,1.42,2.7,2.63,2.01,2.62,2.19,3.5,2.46,4.08,3.57,3.96
b_1,1.43,1.78,1.45,1.18,2.66,2.49,2.83,2.85,3.44,2.98,3.2,3.21,2.88,4.07,3.59,3.9
a_1,1.58,1.48,1.69,1.72,1.18,3.26,2.95,3.08,2.88,3.23,3.69,3.22,2.86,4.52,3.11,4.27
h_1,1.35,1.91,1.6,1.68,1.47,1.47,4.09,3.42,3.01,3.07,3.35,3.07,3.57,3.65,3.07,5.29
g_1,1.24,1.41,2.13,1.7,1.57,1.44,2.95,4.63,3.14,2.75,3.34,4.68,3.33,3.8,4.13,3.98
c_0,1.62,1.81,1.48,1.5,1.31,1.5,3.13,3.36,4.44,3.58,5.4,3.83,4.8,4.82,3.83,4.58
d_0,1.33,1.55,1.09,2.54,1.73,1.54,3.05,3.12,2.46,4.36,3.18,3.78,3.0,3.81,3.54,4.36
b_0,1.47,1.71,1.6,1.94,1.22,1.25,2.82,3.0,3.29,3.26,4.65,3.64,6.51,5.18,3.75,4.37
f_0,1.41,1.59,1.73,1.62,1.75,1.65,3.16,2.79,3.36,2.85,3.52,4.66,2.96,4.74,6.27,3.96
a_0,1.45,1.53,1.59,2.01,1.46,1.23,2.98,3.22,3.07,3.91,2.84,3.9,5.16,4.85,3.59,5.06
h_0,1.54,2.0,1.61,1.5,1.6,1.22,2.5,3.64,3.17,3.51,3.15,2.83,3.09,3.49,3.44,4.97
e_0,1.27,1.79,1.83,1.52,1.59,1.71,3.19,2.91,3.7,3.22,3.81,3.06,3.8,5.05,5.38,4.24
g_0,1.37,1.48,2.13,1.49,1.6,1.38,2.56,2.59,3.41,2.97,3.13,4.7,2.81,3.93,4.59,3.9
