,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,1.4,1.46,1.81,1.5,1.38,3.07,2.97,2.79,4.95,3.2,3.49,4.15,3.31,2.84,4.33
f_1,2.14,2.45,1.35,1.53,1.38,1.46,2.37,2.78,2.42,3.19,3.07,2.35,3.69,3.0,2.25,3.6
d_1,1.46,1.58,2.52,1.19,1.48,1.54,2.99,4.85,2.71,2.76,3.41,3.29,4.11,3.4,3.93,3.78
c_1,1.39,1.4,1.57,2.72,2.36,1.46,2.76,2.26,3.1,2.68,2.96,3.17,3.75,2.67,3.01,3.78
b_1,1.34,1.59,1.52,1.35,2.91,2.55,2.9,2.83,2.73,2.99,2.34,3.01,4.03,2.59,3.31,3.99
a_1,1.52,1.53,1.53,1.56,1.21,3.21,3.11,3.28,3.3,2.94,3.75,3.88,4.73,3.31,3.9,4.34
h_1,1.35,2.02,1.62,1.49,1.49,1.32,4.22,3.14,3.74,3.32,3.48,3.47,3.48,3.41,3.66,5.06
c_0,1.56,1.73,1.45,1.45,1.44,1.52,3.47,4.33,3.41,3.87,5.52,3.72,4.62,4.31,3.72,4.6
g_1,1.39,1.55,2.1,1.33,1.71,1.48,2.6,3.3,4.65,2.99,3.46,4.27,3.42,3.67,3.51,3.26
d_0,1.32,1.57,1.29,2.53,1.7,1.43,2.88,2.71,3.13,4.16,3.49,3.21,4.41,3.49,3.37,4.47
b_0,1.58,1.74,1.66,1.66,1.47,1.06,3.06,2.9,2.93,3.24,4.46,3.43,3.94,6.35,3.71,4.2
f_0,1.19,1.45,1.68,1.74,1.73,1.52,3.16,3.42,2.99,3.7,3.63,4.66,4.49,4.13,6.04,3.91
h_0,1.56,1.91,1.6,1.6,1.59,1.34,2.39,2.96,3.79,3.37,3.78,2.96,3.62,3.3,3.32,4.79
a_0,1.51,1.72,1.65,1.95,1.58,0.95,3.21,3.3,3.14,3.6,2.68,3.4,4.71,5.13,3.42,4.01
e_0,1.26,2.1,1.39,1.66,1.49,1.59,3.13,3.61,3.21,3.63,3.75,3.12,4.85,3.75,5.3,4.52
g_0,1.34,1.45,2.09,1.78,1.52,1.42,2.7,3.3,2.93,3.15,3.79,4.58,3.92,3.58,3.58,3.73
