,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.21,0.97,0.99,0.97,0.76,0.56,0.68,0.62,0.54,0.59,0.52,0.5,0.46,0.59,0.43
e_1,0.83,1.0,0.97,1.03,0.93,0.86,0.84,0.7,0.95,0.69,0.71,0.76,0.65,0.6,0.6,0.59
d_1,1.04,1.03,1.0,0.94,0.86,0.9,0.68,0.52,0.62,0.9,0.73,0.62,0.57,0.63,0.47,0.62
c_1,1.01,0.97,1.06,1.0,1.31,0.84,0.67,0.61,0.48,0.57,0.51,0.57,0.57,0.58,0.54,0.48
b_1,1.04,1.07,1.15,0.77,1.0,1.27,0.8,0.8,0.73,0.69,0.55,0.72,0.59,0.67,0.61,0.67
a_1,1.31,1.16,1.1,1.19,0.78,1.0,0.97,0.86,0.74,0.78,0.72,0.66,0.92,0.88,0.63,0.66
h_1,1.79,1.23,1.44,1.5,1.27,1.06,1.0,1.17,0.94,0.93,0.86,0.81,0.75,0.89,0.9,0.81
g_1,1.46,1.5,1.92,1.63,1.23,1.14,0.84,1.0,0.75,0.91,0.91,1.01,0.71,0.72,0.89,0.74
d_0,1.51,1.1,1.73,2.14,1.46,1.29,1.02,1.29,1.0,0.85,0.92,0.87,0.9,0.96,0.8,0.78
c_0,1.85,1.51,1.08,1.6,1.37,1.3,1.01,1.15,1.25,1.0,1.52,1.05,1.04,0.98,0.9,0.9
b_0,1.71,1.41,1.36,1.94,1.87,1.22,1.18,1.08,1.11,0.68,1.0,0.85,1.41,1.1,0.98,0.88
f_0,1.81,1.38,1.62,1.74,1.45,1.52,1.25,0.94,1.15,0.94,1.15,1.0,0.98,1.02,0.76,1.6
a_0,1.97,1.55,1.65,1.7,1.81,1.32,1.33,1.32,1.11,0.91,0.83,1.02,1.0,0.99,0.92,0.72
h_0,2.24,1.68,1.66,1.72,1.53,1.09,1.11,1.44,1.04,1.02,0.91,0.98,0.98,1.0,1.04,0.94
g_0,1.8,1.72,2.07,1.77,1.61,1.51,1.12,1.14,1.2,1.09,1.03,1.34,1.14,0.97,1.0,0.98
e_0,2.21,1.81,1.68,2.07,1.53,1.39,1.17,1.34,1.16,1.06,1.14,0.6,1.34,1.11,1.0,1.0
