,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10930.69,4746.46,3460.11,3758.14,5799.26,24390.14,2502762.61,6293380.62,10661428.85,13109985.6,20267532.29,12397677.31,93229978.26,77323220.43,75363465.17,177983363.82
e_1,2715.2,12560.49,4327.55,2950.46,6485.57,26705.34,2804986.95,7996426.39,23246282.56,14702293.62,21851112.19,28122596.69,80225743.53,81150824.57,47515904.48,213291345.37
c_1,2332.87,2086.81,17642.06,4360.35,11580.1,29878.24,2584861.85,7774964.51,12116892.46,3609795.37,16572099.14,28266409.18,93100824.08,68827281.95,132446183.21,184948864.25
d_1,2734.69,2422.46,2999.26,18612.57,7251.35,31009.36,3008608.38,8316204.75,4405954.7,25936458.68,24966999.29,30226372.6,94198522.56,79199476.52,120291127.83,161413361.0
b_1,2392.47,2349.62,3716.19,3604.65,37768.11,60539.23,2926880.79,8277988.03,12669420.59,13767201.44,5356838.3,30516311.71,76188522.02,72410186.65,135132460.96,199833945.28
a_1,2364.91,3324.19,3118.03,4813.58,5615.58,264696.51,2984246.65,7837137.37,10099117.4,13500756.91,19269066.58,29249723.95,76232113.28,22521536.01,116302274.87,136599183.45
h_1,3807.11,2903.97,4460.09,5174.85,7686.23,29156.18,9452388.75,12619171.07,13467002.06,15944970.64,22260897.33,29927606.45,60780658.83,85412010.86,154007403.98,340777186.04
g_1,2454.54,1932.38,4486.53,7169.45,7881.08,39100.65,3517010.67,33395805.19,12826043.27,16051376.85,25632880.41,63182712.48,94560597.28,110548278.32,197535130.34,156917699.98
d_0,2699.45,3172.15,8377.65,2283.43,7304.52,39619.05,3440002.69,8329764.19,29454103.21,12026031.57,25148190.0,37218840.12,112933558.69,78702595.07,149032451.78,259574139.22
c_0,3748.5,3336.99,2621.92,5344.83,6008.02,44715.65,3947745.69,8486258.73,15117595.89,32820483.24,47157074.85,35978018.26,109581978.7,118178416.31,168935341.0,224420017.15
b_0,3622.65,3696.9,4857.73,4813.06,3849.42,33467.67,3258126.95,10448075.03,13705345.56,18159377.22,55488754.34,31903844.13,139268814.21,201348458.63,169955823.63,287407155.76
f_0,1610.4,2370.71,5680.52,4438.64,8040.9,49008.53,4126316.07,10538049.02,17021549.05,19943824.69,20143812.19,90856692.83,126442129.59,72320600.98,382530983.88,288438315.57
h_0,4381.56,3306.46,4841.72,4847.76,7568.85,36448.48,1587888.45,13644984.61,13351326.38,13944102.84,23281543.83,32795214.46,73502985.28,105264720.9,130118784.72,346526587.46
a_0,3390.66,3936.21,4906.45,5055.05,9537.1,24612.04,3585197.61,6735526.4,11329104.53,15046047.83,24772480.14,31249612.48,110797603.43,282681333.54,85427530.39,253928396.28
e_0,3416.06,1541.42,4342.28,3823.26,8323.24,46204.23,3829420.88,12418817.98,17904306.89,15257867.76,23077876.23,43213019.98,148528103.22,106207145.42,472528301.63,253975786.89
g_0,2769.83,3107.37,4994.08,7138.09,6665.53,35824.55,3157667.0,8045528.31,13162327.4,16012621.01,20130165.11,47651991.24,128205770.38,95564269.76,171817624.51,147193222.8
